Sonargaon - Taj Bengal,21461
Desi Lane,18343756
Mamamomo,18608704
Naariyal Paani,18800704
The Quantum Lounge,18774987
Cal 27,18589389
Domino's Pizza,18604408
Chinoiserie - Taj Bengal,20168
Garden Cafe,21462
Gupta Brothers,20789
Chai Break,23393
Souk - Taj Bengal,21685
Grill by the Pool - Taj Bengal,21497
Kookie Jar,21487
Chennai Express,18704548
Vadilal Hangout,18796294
Quench Cafe,18621423
Keventers,18471926
Machiners Paradise Cafe,18377096
Red Kitchen & Lounge,21352
Upper Crust,23704
Baskin Robbins,18579422
The Junction - Taj Bengal,21471
The Promenade Lounge - Taj Bengal,21472
Mio Amore ,18623780
Paris Cafe,18287249
Mama's Recipe,18840428
Pet Puja,18589676
Drive In Snack Bar,21279
The Pink Elephant Restaurant & Lounge,18863218
La Patisserie and Deli - Taj Bengal,21474
Le Petit Paradis,18595813
HFC,18634154
Petits Fours,24172
Combo Man,18884233
The French Loaf,21311
The Chef's Bowl,18732984
Fish N Fry,18884785
A-1 Taj Biryani House,18884289
Exotic Eats,18354226
Crumb Affair,18645196
The Confiserie,24996
The Last Course,24886
Chocolic,25127
The Sugarr & Spice,18017654
Beijing Express,18886028
Inspirit,18471952
Mangio,21608
Bonn Tonn Bakery,18134919
Pravesh Pani Puri,18548222
Vadilal Scoop Shop,18867029
Snack Street Cafe,18017655
Flurys,23445
The VanMan,18818426
Biryani Bliss,18633325
Kanupriya Gupta,25602
Lajawab Pyaare Kebab,18811814
Tawa Tamancha,18709736
