Blue Heaven,22770
Penguin Restaurant,22552
Chaitali Sweets,24214
Mannat,18640144
Mahabhoj Paradise Restaurant,18659674
New Zaiqa Biryani,24213
The Sugarr & Spice,18576679
Mio Amore,25371
Country Roads,23322
Punjabi Dhaba,23996
Motel Midway,22789
Theque,18595653
Cake My Day,18510214
Ice Queen Parlour,18878779
A-One Biryani,23995
Laxmi Narayan Mistanna Bhandar,24215
New Ramtanu Sweets,18662284
Jathamasai Mistanna Bhandar,23980
Haji Abdul Biryani House,22759
Taj Biriyani,18558819
