Chez - Pan Oriental Kitchen,18542756
Sagar Biryani Centre,18249154
Aahar-E-Kolkata,18784437
The Flavour of South,18818138
Cafe Drifter,18573293
Spicy Treat,21734
Mio Amore,25324
Nivedan,22861
China Blue,18361663
AB golden FRY,18695152
Glofood,18766375
Bawarchi Fast Food,20059
La Mountain 8848,18653686
Banglar Heshel ,18581566
Arshalan Golden Biryani House,18620949
Tasty Fast Food Centre,18578626
The Sugarr & Spice,18070828
Kunnu's kitchen,18601638
Hullor,18640873
Deli Food,18663049
Food Court,18691632
Bingo,18687559
Kolkata Fried Chicken & Chinese Cuisine,18749832
Minn,18755269
MadGrill Caravan,18883828
Wow! Momo,21660
Fuchkawala,18707425
Nu Sagar,18224039
Comida Casera,18893952
