Hatari,24808
Mitra Cafe,23883
Chowman,18676394
Flavours In A Bowl,18855562
KFC,23229
Sagar & Veg Kitchen,23130
Petuk Mosai,23388
Kasturi Xpress,18520253
Domino's Pizza,18420400
The Flavours King,18509324
Advieh,24117
Petuk Mahaaaaraj,18683344
Land of Cakes,18633479
Just Baked,25744
Annapurna Pure Veg Restaurant,18591036
Annapurna Restaurant,18730205
Mehak-e-Punjab,20791
Crispy Masala Chicken,18632335
Santa Delivers,18823810
Gangaur,23638
Zahtar,18368667
Mio Amore,25264
Zaareen,18875902
Sharma Snacks,18671073
Coffee,22007
Rolls Rice,18611127
High Street Bar,25688
Tukai Idly Dosa,25741
Golden Inn,24143
Grace,18755793
Aahar Kitchen,18601721
Creamy Creations,18819358
All-Fresco,25385
Sarathi Veg Kitchen,25745
Little Kolkata,18690181
Hashtagz India,18682726
Vesper Restaurant,22743
New Pancho Byanjon & Bahari Indian,18659445
The Floresta Restaurant,18431442
Raksahb,22068
Foodiezzz Hub,18070781
Gourav Food Corner,18431478
Fair Deal,18767603
0 Degree,18382915
China Green,21302
King's Royal,18343748
Aami Bangali,18561999
Sals food court,18825889
Laxmi Narayan Mistanna Bhandar,24148
Hot Spot,18855897
Hariyali,18808503
Hot.com,18641174
Bengal Food Factory,18618852
TFK Pure Veg,18871342
Friend Food House,18613644
Paris Bakery,18683117
Pet Pujo,18855931
O Zone Restaurant & Bar,22243
Riddhi's Kitchen,18537503
Classic Snacks,22246
Cake-O-Nation,18648448
Out of The Box,18653074
Momomio,18664764
PFC,18661429
Cumin,18685577
Chill Beep,18733220
Lokenath Restaurant,24149
New Haji Sahab Fast Food Center,24142
Thali King,18788761
Bong Deli,18680076
California Bar Cum Restaurant,25442
Rannaghar,18806833
Desi Kitchen,17983761
Toaste Adda,18386801
Mayur Hotel & Restaurant,24151
Maa Tara Food Zone,18587133
Swagata Restaurant,21560
Aranyak,21567
Momo Tomo Kitchen Extended,18618008
Annapurna Sweets,18644821
Taste of Home,18651393
Kolkata Dabbawale,18685269
Frosted Fantasy by Appy,18726277
Calcutta Cutting,18734340
Geetanjali Regency,18882658
Sree Bakes,18354582
Delicious Kitchen,18774881
Foodies Kitchen,18679677
Tutur Kitchen,22228
Anandamayee Restaurant,25746
Tiny Bite,18396940
Kathleen,18558373
Bong Chi,18620647
Mickie Minnies's Cake,18642818
Srimati,18675195
Tripti Homemade Food,18677273
Kathleen,18681224
Lemon fast food,18683303
Maa Tara Fast Food,18710652
The Spoon & Fork,18729787
Belly Charger,18752051
Alochaya Fast Food,22247
Shakun's Kitchen,18749526
Sikkim Momo Garage Cafe,18640389
VIP Sweets,24153
The Biryani Inc,18821720
Shree Krishna Mistanna Bhandar,18281736
Chillex,18663653
The Hungry Box,18701244
Food Junction,18391610
Cafeteria Club House,18313663
Maggi Point,18636627
A1 Haji Fast Food Centre,25040
