6 Ballygunge Place,20002
Tram Deepo,18354569
Spice Kraft,18017612
Nawwarah Fine Dine & Lounge,18377112
Chili's Grill & Bar,23729
Mainland China,20928
The Irish House,24286
Yauatcha,24503
Zam Zam,18707652
I Love Haldiram,21594
Govinda's,21510
SBFC Food Funda,18661637
Rang De Basanti Dhaba,18512962
Kasturi Restaurant,21829
Serafina,24504
Great Wok of China,18757973
Bombay Brasserie,24205
Gupta Brothers,24420
Bohemian,21520
Melting Pot,18553341
KFC,23799
Glacé Patisserie,18213985
Mrs Wilson's Cafe,18799348
Mamasan,18696949
Smoke Shack - ​Radisson Kolkata,22661
Dhaba Junction,18625485
Ekdalia Rd.,18666148
Mama Mia!,20957
Chowman,22846
Paris Cafe,23057
Domino's Pizza,20169
Sharma Dhaba,21146
Karma Kettle,18571782
The Coffee Bean & Tea Leaf,23890
Mumbai Local,18343731
Adil Biryani Centre,22833
Friend's Corner,18797185
Pizza Hut,23822
Grub Fast Food,21835
K19 All Day Dining -​Radisson Kolkata,22660
Chatar Patar,24831
Pai's Malgudi,24816
Teekha,25672
Azad Hind,24395
Cafe Je T'aime,18750708
Balaram Mullick & Radharaman Mullick Sweets,22540
Wild West Tavern,18354574
Aajisai,18632696
Sharma Tea,21137
Baked N Fried,20803
Red Hot Chilli Pepper,21519
SNACK 'N' LOVE,18805521
Waffle Wallah,18574673
Kwality,21716
Raj Hotel & Restaurant,23870
Bay Bay's,18684690
Prity's Kitchen,18533426
Tasty Corner,22866
Fish Fish,22362
Q33,24315
Ballygunge Dhaba,20710
Chai Break,23236
Cocoa Bakery,18884390
Crazy 4 Cakes,18386783
Mad Hatter's,18627029
Zee's Coffee Shop,18361656
Aqua Java Zasu,18625458
Häagen-Dazs,18281717
Grab & Grub,18525567
Batcaves Gourmet Popcorns,18652396
Soul Cafe,18510854
Keventers,18354602
Chopstick,18452234
The Shack Lounge,18224030
Deshaj Store & Cafe,18552750
The Chef's Bowl,18617631
Coffee World Restaurant,21812
Eat Good Food,18237056
Monk's Den,18818069
Gangotri Sweets & Snacks,22963
Masala Kitchen,23801
Mezze,23800
China South,23792
Machhli Baba Fries,18568387
Suswagatam Bar & Restaurant,18685330
N2ICREAM,18453574
Littii Express,18648124
Ali's Pan,18561927
Wokching,18259425
Just Biryani,18320016
Awadh,18655232
Baskin Robbins,18343738
Cookie Man,18325262
Mini Hut,21723
Desi Streat,23803
The Cream & Fudge,18744386
Nirvana - ​Radisson Kolkata,22809
Cafeccino,23914
Basmati,18729552
Biryani Point,18343771
Suruchi Veg Restaurant,25712
Flavourbox,18377099
The Sugar & Spice,18745211
Fabelle Exquisite Chocolates,18636619
Juices & More,24417
Tara's Kitchen,18593812
Gianis Ice Cream,18878630
House Of Commons,18748558
Sparkling Bubbles,18676437
Burgers and Sandwiches,18553674
Mio Amore,25266
Jab We Ate,22131
Gupta Roll Centre,18809198
Penny's,18635376
Ashok Pan Shop,18820917
SFC Food Funda,18452212
Kulfiano,23415
The French Loaf,18520279
Republic Of Chicken,21816
Cakes Delight,18635576
Eat Out At Home,25144
Nosh,25550
Stop Over,22110
Bhikharam Chandmal & Grandsons,21837
Nicole's,18377074
Limelight Restaurant,22504
Gupta Kitchen,18368663
Gourmet Rasoi,18420494
The Crumble Story,18592304
Rollicks ,18598087
Vagabong Diaries,18652268
Petuk Ganesh,18671601
GIICAFO,18682418
Kwality Wall's Swirl's,24061
Quarter Plate,25733
Wake N Bake,18730748
Aameen Foods,18745219
Halder Sweets,18222068
Bakery World,18431449
Yin Yang,18343770
Brewin - ​Radisson Kolkata,22659
Crepes & Waffles,18638389
Tomo Bystro,18763286
Jagonnather Hari,18790196
Food Rocks Café,18249179
Eats,22617
Golden Fast Food,23427
Delhiwaale,18632465
Super Snacks,18621468
7 Point Alfaham,18657254
Bengal Sweets,23119
Laxmi Narayan Misthanna Bhandar,25047
Food Singh,18791476
Short and Sweet,18270253
Mukherjee Sweets,18361129
Epicuisine,23839
Brown's,18555373
Mimo's Kitchen,18635097
Anup Hotel,22971
Bake Flake,25520
Bawa Fast Food Corner,18755414
Crazy For Food,18784939
Yasoda Nimke House,18343766
Bengal Food Factory,18618766
Butterfingers By Preetanjali,18880364
Shudh Veg Food Court,25711
The Noodle Story,18498770
The Cream & Fudge Factory,20967
Cafe Coffee Day,21098
The Cake Boutique,23489
Cake by Pooja,18377111
La Cioccolata - The Choco Studio,18807727
Simply Corn,18325286
Calcutta Retro,18354570
