Domino's Pizza,18471953
Sunny's Refreshment,23205
Dunlop Hotel and Restaurant,20640
Ambrosia Restaurant,22649
Saezal,18549730
Buddha Bites,18706770
Anandamayee Sweets,23960
New Sher-E- Punjab Hotel,18676231
Chinese Cafe,25206
A&K's,18665495
Sher-E- Bengal,18659436
Dhaka Biriyani House & Restaurant,21985
Momozing,18865740
Adaab Hotel & Restaurant,18134896
Food Village,22674
Flavours,18703657
Athina Food Valley,18350475
Kolkata fries ,18658319
Tripatimahal,23135
Mio Amore,25285
Monalisha Restaurant,22837
Wah Punjab,25181
Mahi's Kitchen,18678861
Mio Amore,18681153
Bhojon Rasik,18602896
A1 Haji Fast Food Centre,25642
Classic Fast Food Centre,18715809
Anir's,18296347
BakingWali,18385536
Dinner Bar Cum Restaurant,18556490
Kathleen,18562283
Baked By Bony,18724209
Foodizm,18665479
Yummy Cakes,18758257
Just Yummm,18790399
Dumpling Momo,18641265
Nandan Bar & Restaurant,18624044
Kohinoor Biryani House,18738878
Apurba Lal's Restaurant,21810
Crispy Fried Chicken,18616850
Kalika Misthana Bhandar,25481
Expert Shahi Biriyani,25479
Endrapuri,23153
Abhiskar Restaurant,23558
Chowdhury's Restaurant,18588899
Lollipop,18619357
Captain Cook Caterer,18712036
Park Fast Food Centre,23137
Nabaratna Food Corner,18564619
Bahare,18670615
Saini Caterer,18697962
Bake Club,24070
Bhaipo's Food Court,25200
Gunjan Bakers,18874151
Arati Mistanna Bhandar,18658080
Just Baked,18772043
Ganguram,18736348
Dunlop Coffee House,23208
A 1 Haji Fast Food,23158
Nipaz,18393919
Maska On Chaskas,18754503
