Jimmy's The Master of Kitchen,18862322
Rath,21416
Rasui,23631
Utsav Restaurant,18780722
A1 Haji,18538980
Ananda Hotel & Restaurant,17983804
Annapurna Hotel,17983778
Zaffrani,18361670
Bhojan Ghar,18570279
Cake Crush,18456154
The Smokeat,18839707
Penguin Food Court,22668
Smart Food Cafe,18253948
Just Baked,18420506
Cream Bell,18797109
Bangaliaana,18213964
Dalia Sweets,18632091
House Of Cakes,18709941
Ambrosia Restaurant,24488
Regent Restaurant,21721
Dolphin Resturant,18213962
Mio Amore,25329
Rice Plate Restaurant,24261
Kathleen,25178
All Is Well,18772125
Sweet India,18594282
CFC,18679232
Yum Choco,18641228
Sutripti Sweets,23201
Khyber Park,18764597
Sutripti Sweets,18825280
Arai's Chinese,18878624
Bite O Bite Continental,18745123
Fresheat,18213966
