Dinner House,22595
Spice King,18865892
Wow Level,18877735
The Fine,18556273
Mum's Kitchen,18593368
Khichdi Khichri,18287250
Platter Barsana,22588
Haji Fast Food,23783
Tandoor Nation Dhaba,18590135
Udichis Kitchen,18812950
South Bowl,23281
Classic Chinese Food Centre,18724099
Mukharuchi Restaurant,24867
Krijuss Restaurant,18602538
HFC,18391272
Mukharuchi Sweets,18414441
Ramkrishna Mistanna Bhandar,18554419
Rahmania,22712
Anokha Biryani House,18535423
Pangong,18368665
Testyguru,18745537
Royal Apu's Kitchen,18649948
Mio Amore,25273
Drumstick,21761
Jana Food Cafe,18432040
Ma Kali Mistanna Bhander,18420363
Zaafran,18641608
The Rose Confectionery,25456
Dutta Food Center,18823682
Curry House,18701084
Foodies Kolkata,18777134
Bengal Hot & Spice,18797168
Coco Mozart,18343737
Foods Lovers,18800403
Platter,18888394
The Sugarr & Spice,18128503
Tripti,22729
Afzal Biryani & Fast Food,24138
Jaiswal Nimki House,24139
Jeet Cafe Bar,18386811
