KFC,18712111
Mughal Darbar Restaurant,18733767
Haldiram's Prabhuji,18681682
Domino's Pizza,18343769
Desi Kitchen,18586472
Green Pepper,18618769
Quality Fried Chicken,18529935
Buddha Bites,18706780
Jain Brother's,18887093
7/12 Fried Ice Cream Parlour,18681569
Cafe Coffee Day,18455301
Chinese Hub,18520710
The Bhukhara,18808372
Tiwari Snacks,18808341
Desi Kitchen Snacks Bar,18853659
Sivalika Kitchen,18670361
The Chocolate Studio,18794272
Cafe Liliput,18638525
Abra Kebab - ra,18666735
Satyacharan Mistanna Bhandar,18571071
Sharama Sweets,18808338
Mission Cafe,18377097
Kwick Bites 2,18667760
Lazeez Restaurant,18601115
Moglai Khana Alibaba,18521905
Take N Taste Resturant,18570396
Spice Vally,18521898
