Balaram Mullick & Radharaman Mullick Sweets,22077
McDonald's,23307
My Big Fat Belly,18343765
Balwant Singh's Eating House,20754
Baccara,18574357
Aloha,18796705
The Dugout,24344
Apna Dhaba,18390916
Kalatmak,18809241
Chetty's Corner,18639443
Haji Shaheb,25432
Amritsari Haveli,18622833
Mavericks Cafe,18670923
Bombay Kulfi,18646591
Kake D Hatti,18823714
Jassi Da Dhaba,18819537
The Induction,18413748
Gupta Brothers,24610
The ON Cafe,18662181
Sippy,18528454
The Litti King,18667493
Ajanta Hotel,22026
QFC by Fry Hut,18661112
Junkiezzz,18681143
New Palace,22901
Crazzy Momo,18553406
Bijoli Grill,20079
Skyline Confectioners,25119
Eat Smart,18143236
Sangu Valley,21286
Fast Filling,24429
Sharma Tea House,17983779
Kitchen Tadka,18747870
Parantha Point,18542815
Sree Hari Mistanna Bhandar,23456
The Sugarr & Spice,20633
Annaras,23398
Raviz,23662
Sharma Snacks Center,23399
Bangasree Restaurant,20721
Bosphorus Churros & Co.,18559266
Banchharam's,21049
Mio Amore,23779
Anuradha Cafe,25276
Vegly,18547511
Signaturre By The Sugarr & Spice,18143231
Chillz Live Ice Cream,18451105
Subway,22473
Tripty's Bar & Restaurant,18563891
Tandoor Hut,22693
K2,18540444
Shree Paan Dhaba,18453410
Ma.ma Lebanese,24422
Cafe Coffee Day,21110
Green Palace,21318
Arihant's Natural Ice Cream,18856597
The Big Boss Cafe,18697656
Its Kitchen,18783251
Kandy Crush,18601439
Thanco's Natural Ice Cream,18498751
Sam's Donut Hut,18287726
New Saurashtra Nimki House,23049
Desi Cuisine,23218
Sailendra Sweets,25734
Mass Snacks,18663116
Baskin Robbins,24335
Sharma Brothers,23397
Sip & Sandwich,23621
Shree Krishna Sweets,23864
Dicky's Restaurant,22013
Ganguram,23725
Vivekananda Cabin,20722
Sharma Jalpan,23784
Suman Sweet And Snacks,18724340
D Chocolatee,23387
The Kasturi,23381
The Tummy Tuccker,18514281
Me and My Cake,18471925
Just Baked,21038
Tawa,21047
Bono Phool,21319
Mrityunjay Ghosh & Sons,24192
Shree Durga Mistanna Bhandar,24282
Thali King,18788753
Mitha Namkin,18821525
Sugar Shack,18143248
Dana Pani,18237079
Smokzz Rescro Cafe,18628269
Khalsa Dhaba,18791340
Wongs Kitchen,18878620
Chocopassion,18774294
Relish,23129
Zaikaa By Sonal Doshi,18325279
Jalpan Shop,18690714
Sen Mahasay,24535
The Fat Panda,18395957
Yash Cakes,23125
Dakshina Kali Mistanna Bhandar,23403
Joyguru Mishtan Bhandar,23400
Southern Fried Chicken,18668977
Mr.Baker,18710086
Da Bong Masala,18728617
Kathleen,22996
Rashpurna,23401
Encrust By Disha Mooljee,25517
Akira,18782337
Pavni Bakes,18070779
Swissyum Concept Foods,18343752
Srabani's Kitchen,18287245
Pratima's,18343734
Abhilasha,18664278
Offside Sports Cafe,18377106
Balaji Fast Food Center,18822709
The Chinese Walkker,18895366
