Combo Raja,18868046
Bhim Chandra Nag,22080
Amanat Fast Food Center,18793543
Liu's Kitchen,18882400
Mio Amore,25325
Meher Caterers,18343727
Shimla Biryani,18431051
Haldiram & Sons Bhujiawala,23541
Calcutta Cafe,21227
King Khan,21753
Barbeqoa,18579439
Naba Krishna Guin,22935
Fast Food Centre,23507
Rahmania,21751
Veg @ Mirch Masala,18719613
Sri Hari Sweets,22932
Bhim Chandra Modak,22907
New Mumbai Snacks Fast Food,18265468
Jayashree,23518
Triasha Fast Food,22919
Cecil Bar & Restaurant,22530
Ganguram's,24397
The Zayka,22918
