Scrapyard,18538536
Monkey Bar,18361667
Bombay Shiv Sagar,20090
Shisha - Bar Stock Exchange,18249148
We.Desi,18354584
The Fatty Bao,18610904
One Bottle Down,18625819
The Blue Poppy,21230
TFO - The Factory Outlet,24629
Aurum Club & Kitchen,18632409
Gabbar's Bar & Kitchen,25664
Afra Tafri,18471923
Kaidi Kitchen,22418
Cafe 4/1,25605
Blue Poppy-Thakali,18746590
Indies,18637943
The Fan's Club,18377107
Jyoti Vihar,20274
Pizza Hut,20279
Brickwood,20407
The Rice Guys,18217480
Tall Blonde French,18645113
Urban Desi,18684728
Chowman,23396
Deck 88,18532436
Agarwal's Pav Bhaji,18431481
Fox Trail,22457
Hungrill,18676405
Shah's Kitchen,18695971
Kebab-e-Que - The Astor Hotel,21530
Gupta Brothers,18237067
Lounge Cafe,18565786
Wow! Momo Veggie,18772578
Leafy Affaire,18780511
Stun the Sun,20619
Turban Tadka,18713288
Chaurasiya Jal Pan Grah,18625729
I Love Haldiram,18514985
The Guptas,20543
Yum Tum,24991
Vaango,18398868
Shibuji,21649
Eggilicious,18343760
Keventers,18511563
Mystic Yoga Cafe,24805
Eat-O-Gito,25562
Dawat Restaurant,18452210
The Batter Box,18311126
Roll Center,22876
Purple Wok Co.,18797059
Seven Heaven,20458
Jab We Ate,21951
La Oriental Resto Bar,18728214
Middleton Inn Bar And Restaurant,21531
Cheers - The Astor Hotel,18655187
Wai Wai City,18398857
Ecothali,18452198
Krishna Kant Sharma Fuchka Wala,18452200
Midnight & Co,18570866
Fast Food Centre,21181
Cafe Coffee Day,21987
Phoenix - The Astor Hotel,21950
Ovenly,18512952
New Noodle King,18525753
New Roll Center,18886285
Arunoday Eating House,24985
