Anand Restaurant,21391
Sabir's Restaurant,21280
Crystal Chimney,20147
Chung Wah,21538
Temptilicious,18821899
Hotel Broadway,21208
Masala Wok By Red Hot Chilli Pepper,18377087
Gupta Brothers Restaurant,18440207
The Rice Guys,18645096
Madras Restaurant,20763
Eau Chew Restaurant,21715
Gypsy by Aminia,22896
Mission Cafe,20740
Duke Bar & Restaurant,20926
Seetala Udipi Eating House,24689
Chin Wah,23652
Chicken @ Mirch Masala,18386795
India Coffee House,18368687
The Open House Restaurant,18569492
Gupta Hotel,18688133
Public Fast Food Centre,22883
The Central Grub Club,20786
Embassy Bar & Restaurant,22647
New Central Hotel,23506
New Gupta Mukhoruchi Roll Centre,23483
Barua Eating House,23554
Just Baked,21026
May Fair Bar & Restauarant,21254
Bower Bar & Restaurant,23116
Hotel Minerva,18296360
A C Dining Hall- By Mission Cafe,18520830
The Hunger Factory,18591112
Ganguram,23536
Wow! Momo On Wheels,18361642
Drooolicious,18593737
Kwality Roll Corner,22884
Sangam Roll Centre,22885
Cafe Coffee Day,21906
New Darjeeling Momo Junction,18749858
Raj Fast Food Cafe,18070820
Al Jawahar,18712520
Yo Yo Momo,18712620
Shankar Hindu Hotel,18893660
