Jam House,18325249
Zucca Lounge,18797771
Saima Restaurant,21316
Wow! Momo,18217474
I Love Haldiram,20829
Buzz,20698
Kocoa Mania,25535
Russel Punjabi Dhaba,21665
Cloud Kitchen,18498765
Indian Cloud Kitchen,18797550
The Tea Factory,18377102
Maharaja,20864
The 6 Russel Street,22548
Gokul,18017606
Ganguram,23718
New Embassy,20858
Tit Bits,20675
Green Apple,22103
Bhikharam Chandmal,18535413
Sip & Sandwich,21986
Heshel Sutanuti,18175645
Ridhi Sidhi,20727
Rush'R,18592500
Empire Bar,18683476
The Noodle Story,18554602
The Sugarr & Spice,24957
Kathleen,21197
The Drive Inn,20177
Arun Tea Stall,25764
Krishna Juice Centre,24517
Parijat Restaurant,20397
Paris Cafe,18343726
Ganguram Great Grandsons,23090
The Spice Tree,25549
The Combo Co.,18787862
Kolkata Taj Biryani,18884887
Indo China,24959
Krazzy Bites,18775806
Cafe Coffee Day,21910
Adiram's,18440234
One Way Cafe,23875
Yum Tum,23963
