Sufi Palace,18578307
Hindusthan Dhaba,18461755
Paramount Sherbats & Syrups,22173
Indian Coffee House,21764
Triasha,22930
Dilkhusha Cabin,22406
Food Square,18556142
Putiram Sweets,22785
Kalika,23223
Mouchak,23568
Gunjan Chinese Food,22893
Quality Biryani House,18802431
Capsicum Fast Food Centre,23833
Ghosh & Co.,18143239
Kebabland,18817806
Mahal Restaurant,24691
New Royal Biryani,20733
Swadhin Bharat Hindu Hotel,23972
New College Sweets,23976
Miraj restaurant,22921
Lucknow Biryani,18697325
Padma Restaurant,18433213
Jadab Chandra Das,18593549
MRK Fast Food,22923
Amantran Family Restaurant,23763
Islamia Hotel,22891
Bindass Food Plaza,18428519
Gupta Hotel,22908
Reyaz Hotel,22909
Malaikari,18659636
Tasty Restaurant,22889
Mini Restaurant,22886
Food Carnival,22892
Peiking Chinese Restaurant,22903
CH Gope Sweets,22922
Guest Snack Bar,22888
Favourite Cabin,18440235
Yum Yum Food Corner,24268
Hotel Kichhukhon,18572652
KA's,23765
Kalpana Sweets,18429054
Shree Laxmi Mistanna Bhandar,22910
New Delhi Mishtaan Bhandar,23495
Tara Maa Sweets,23523
Homebakerz,18645748
Jugal's,22915
Sarat Sweets,22929
Makhan Lal Das & Sons,18756940
THE FOODIES,18853080
The Sugarr & Spice,18070810
Sweetarts,18629319
Basanta Cabin,22931
Silver Valley Restaurant,18747474
The Zeeshan,22895
