The Bridge - The Floatel Hotel,20841
The Bhoj Company,18440243
The Chutney Co.,25617
Sei Vui,18638521
Pou Hing,22024
Aaheli Xpress,18629781
Metro Roll Centre,18808499
Piccadilly Square,25155
The Scoop,24531
Koshe Kosha,18431456
Mughal Garden Restaurant,24992
Garam Masala,18570707
Busy Bites,18431893
Ayan fast food center,18854390
Haldiram's Prabhuji,18591167
Mio Amore,25291
Zero Miles,21703
Kwality Wall's Swirl's,24043
The Bengal Lounge,18498749
The Little Place,21315
Dasabhuja,18715864
The Anchorage Bar - The Floatel Hotel,21305
Cafe Coffee Day,21108
Only Alibaba,20906
The Cake Walk,18677095
Mishti Katha,18717029
Prakash Hindu Hotel,18866545
The Yellow Straw,24935
Bhikharam Chandmal,24470
Kona Dukan - Stock Exchange Tea Stall,18209662
Bharat Biryani & Restaurant,18237042
Limelight Restaurant & Bar,22052
Thali - Only Alibaba,18281753
Ganguram,24388
M/S Binode Behari Nag Ganesh Chandra Dutta,18361673
Wow! Momo,24999
Crown Cafe,18731710
Rhythms Restaurant Cum Bar,18768078
Madras Hindu Restaurant,18134905
Dalhousie Square,18715760
Sweet Home,25009
Indian Sweets,18281725
Anamika Eating House,20818
Just Baked,18772651
Kathleen ,18478559
Mamta Sandwich Centre,18621410
New Lucknow Sweets,18637085
Abhilasha,18664259
The Sugarr & Spice,25001
Haji Fast Food,18838243
Samrat Restaurant,18440514
Haldiram,18398876
Hop In,18655398
