Oudh 1590,23273
Paranthe Wali Galli,18414428
Tamarind,20859
Maharaj,18287267
Sharma Sweets,23877
Magenta Cafe & Store,18529675
Codfather,24193
Jugal's,24425
Machhli Baba Fries,18513005
Udipi Home,22543
Baskin Robbins,22087
Kiaat Villagio,24915
Matargashti by Friends Cafe,18673515
Zeeshan,18471940
Flavours of South,21187
Mio Amore,18588330
Tarang,25246
Salaam Namaste,22509
Rollick,21773
Maniac,18607099
Wasabee,24466
Smokaccino,18743044
Cafe Bistro,22535
Chocolust,24456
Tea Junction,24527
Vien,18537574
Krishna Sweets,23192
Drishti,24161
Mini Box,22378
Kathleen,23018
Roasted Grill,18620781
Mayer Cabin,22864
Sharma Sweets & Snacks,23194
Flames,22664
Mother's Kitchen,18219511
