Khana Khazana,21455
Sip N Bites,22767
Raasta Cafe,24297
Skylark,21888
Domino's Pizza,25406
7th Heaven,18813248
Daana Paani,18521670
The Subtle Baker ,18638289
Shubham,18270218
Say Cheese,18386781
Bhikharam Chandmal,18821870
Whatsupp Cafe,18452214
Food Plate,18753122
Arihants Naturals IceCream,18777948
Mio Amore,25292
Tirupati South Indian Restaurant,18874515
Bachelor's Kitchen,18582227
Khushi Cake,18739694
National Fast Food Dhaba,18537542
Mission Cafe,18677763
Paris Bakery,18533355
Waffle Junction,18617440
Upper Cakes,24972
New Sagar Restaurant & Fast Food,18633232
Cookurplate,18224046
Krazy for Chocolates,18287260
Shyam Andhra Mess,22749
Punjabi Sweets,18672443
Hotel Shivam Restaurant & Bar - Hotel Shivam,21334
La Shivaaz - Hotel Shivam,23626
Upper Crust,22755
Street Cafe,23289
Kandy Crush,18166911
Rasoi,18569973
KolkataLunchbox.Com,18568960
Kanishka Pav Bhaji,18610472
Frootica Natural Ice Cream,18709258
Apnaa Swaad Junction,18709089
Sri Balaji South Indian Mess,22753
The Ice Cream Truck,18701083
Appetour,18709251
Foodcy,18578777
Table No. 13,18578990
Krishna Hotel,18713812
Kathleen,23003
Sweet Sensations,25754
who said PIZZA??!!,18737437
who said PIZZA PLUS,18802492
The Indian Salsa,18701234
Tewari's,18610413
Hav Cakes,18652321
Crispy Inn,18688866
Ralli's,18701091
Ashish Hindu Hotel,22694
Chatpata,18701227
Ralli's,18590984
Open House,18662066
New Punjab Sweets,18672438
Jain Canteen,18617081
Krishna Bhog,22771
Bats on Delivery,18610329
Gangotri Sweets,22725
