Darao Pothik Bor,18398882
Laltu's Golbari,23922
Mitra Cafe,18214001
Aamar Kolkata Sobar Cafe,18685103
Robin's Pizza Factory,18822000
La China Grill,23375
Paris Bakery,18524822
Desi Meals,18879338
Tandoor-e-Punjab,20785
Ujan's Food Zone,24730
QFC - Quirky Fried Chicken,18625245
Taste N Try,18633448
Yuvraj Change The Flavour,18739425
Royal Biryani And Spice,18854212
Mio Amore,25251
Babul,18757691
Momozing,18793881
Ghosh Food Corner,18856576
Babul,18578167
Steaming Mug,18388058
Red Carpet,21338
Mughal Biryani,24173
The Kitchen,18665729
Tiffin Room,23928
Cafe Coffee Day,24628
Eat & Treat,18718375
Chandigarh Hotel,18520585
The Nom Law,18552859
Meat & Eat,18579453
1st One Sahi Biryani & Fast Food Corner,18648525
