Saima Restaurant,21668
The Bikers Cafe,24342
Oh! Calcutta,20974
Cafe Mezzuna,25587
Fabbrica Della Pizza,23831
Pizza Hut,18420478
The Country House,20753
Cream Centre,18265462
Krazy for Chocolates,21543
The Belgian Waffle Co.,21441
Sumo Dough,18573295
Piccadilly Square,18420482
Keventers,20720
Mythh - HHI,18343753
Go Veg,18134922
Qabila,18694718
Tibetan Delight,22006
Classic Factory,18676542
Kath Koyla,18471941
Momo Plaza,20780
Nick 'N' Nack,23249
Tyre Patty,23555
Belgian Waffle Junction,18682275
Hamro Momo,21147
Kewpie's,20286
Rooftop Top View,22004
Noodle MEE,24929
The French Loaf,20945
Kalash - HHI,21356
Sayin Cheese,18809783
Chill Maar,24945
Fries Before Guys,18682273
Giani Ice Cream,18801012
Dhadoom,18724519
Icy Fusion,24892
Chai Break,21573
American Waffle House,18706233
FNP Cakes,18537760
Roffles,18701049
Lazeez,21386
Nepal Sweets,18249143
Mr. Wrappee,23392
New Deeya Bati,18452235
Privy Ultra Lounge,21588
Wah Ji Wah,18659663
Frollz,18461734
Gelato Vinto ,18524947
Sweetish House Mafia,18799351
The Shake Factory,18682279
Wai Wai City,18643612
Juicy Fresh,24014
Subway,20729
Delight Kitchen,18786236
On The Wheels,18471922
Orchid,21854
Cafe Coffee Day,21095
Wow! Momo,24188
Baskin Robbins,18587175
Flaming Wok,20827
The Breakout,18431479
Kwality Wall's Swirl's,24055
Creme Cabana,18420410
Ar-Han-Thai,22897
Starstruck,20499
The Frozen Tree,18608910
Laxman's,18420480
Sip & Sandwich,18386348
Sound of Groovz,18386791
Corner Cafe,21337
Waffle Junction,18591029
Velvetiine,25620
Amul Ice Cream Parlour,18429057
The Oriental Express- HHI,24464
UG Cafe Bar - HHI,18343762
A La Cart,18748570
Bean It Up!!!,23383
Spice Garden,20495
Biscotti,20644
Time Out,18652209
Dosa Mania,18714530
Pepper Chino by Don Giovanni's,18628915
Flavours,23162
Raj Veggie Point,20783
Krishna Juice Centre,25547
Just Baked,21037
Desi Express,21132
Whip It Up!,18355418
Frapp,18702846
Thanda Garam,22899
Gotta Get Enerzy,22898
Kathleen,23004
Lord's Chinese Corner,18756301
A4 Foods,18237048
Pure Induslgence,18638460
RCS,18662137
Shimnan Fast Food Centre,23082
Yum Tum,18166936
Seema Caterer,18882425
Kesar,18725448
Garden Cafe,23316
Annapurna,23461
Caramelle,18628862
Virgose - HHI,21367
The Noodle Story,18440237
Yes! Momo,18249177
