Domino's Pizza,18452233
The Chicken House ,18573069
Zafran,18471492
The London Shakes,18784171
WBFC,18523370
Nawab's,18575194
Alishan Biryani,18793408
A A Biryani,18861960
Hindmahal ,18480395
Mio Amore,25357
SBFC Food Funda,18672020
Bite's Grill,18722767
Jagatmata Bhojanalay,18570562
Delhi Belly,18683661
"Royal Biryani, Roll and Fast Food",18693513
Haji Biriyani,25497
New Royal Biryani,18793107
The Rose Confectionery,25495
Sri Gopal's Misthanna Bhandar,25493
Restaurant62,21121
Abhinandan Fast Food Centre,24529
Cakefite,18616073
Hill Aroma,18681419
Madan  Mohan Ghosh & Brothers,25491
Bawarchi,18778102
Zaid Food Dot Com,18880485
Cream Bell,18797101
Little Indulgence,18677100
Marshmallow,18713969
The Sugarr & Spice,18070815
Choco Bliss,18675196
Unnayan Cabin,25498
Flavours,18398864
Batra's Kitchen Punjabi's,18577708
7 Star Haji Biryani,18833645
Italy To India,18656701
Nu Cascade,23462
