Ebela Obela,18519912
Firingii,18758759
The Beanshot Cafe,18748379
SKFC,18651329
Aminia,23380
Chowman,25094
Chef Alladin,21967
Red Bamboo Shoot Restaurant,25387
Royal's Biryani & Kebab,18704905
Hanglaatherium,25634
Food Junction,18577170
Taandoor's,18673575
Cafe Spilled Beans,18679150
Devilicios Cafe,18794851
Hatari,23221
Wow! Momo,21658
Hogwartz Den,18384385
The Mug Tales,18865231
Posto,18608527
T.T.K. Restora,21282
Belaranir Rannaghar,18578967
Z Momo,18720460
Red Bellpepper,18347798
Brar's Punjabi Hotel,22466
Narayan Mistanna Bhandar,24336
Silver Moon,24516
Raja Bhat Khawa,18217482
Little Cafe,18217456
Babumashai,23657
Greenland China,18582856
New Happy Eating,18793137
Cake-O-Bake,18424094
Shivam Family Restro,22420
Cafe Coffee Day,24704
Kichukhhon,22672
Mio Amore,25279
Frozzer's,18679045
Spring Onion,18796211
Jinni'sshhh Cafe,18807491
Bookhara,20682
Diki Sikkim Momo,18128638
Hotel Apanjan,25715
Bhojohori Manna,24835
Ma Bhagwabati Sweets,18153266
Flavours Of Asia,18580693
Aafter 9,18648968
Samosa Time,18717609
Rehan,24703
Chopstick,24684
A Homebaker's Treat,18416937
Denzong Delight,18678396
Noodle Oodle,18368653
Kum Pao,18556674
One Minute Snacks,22041
Ajooba Biryani Junction,18775536
Krazzy For Waffle Express,18791389
The Sugarr & Spice,18070800
Mistimukh,18166930
Clay Oven,22048
Arshika South Indian Snacks,18783978
New Ashiana,23149
Bangaleeana,18577285
Baraf,23658
Marlin Restaurant cum Bar,23444
Hindusthan Sweets,24705
Zaikaa,23372
Palki,20393
The French Loaf,18712506
Bengal Food Factory,18618788
Golden Chopstick,18655486
The Saffron,24698
Raj Restaurant,25451
Jalajoga Mishti,24701
The Pool Cafe,18554347
Neelanjana Multi Cuisine Restaurant,23310
Tripti,24066
Krafty Chocolates,18619221
R B Healthy Caterers,18670334
Machhranga,22857
Pizza Kolkata,24697
Maat,18256887
Benubono Chhaya,18559854
Walia Da Dhaba,24706
Dakshini,18368647
Green Chilli's,18256888
Palace of Sweets,18377070
Nun Holud,18437641
Sankar Hindu Hotel,18623439
Family Cook Off,18683946
Annapurna Restaurant,18714624
Bedwin,18734010
Orion Fast Food,24696
Michelle's Foods,24818
Yummy Yummy,18881365
Pee Kay Khana,18070814
Nesha's Kitchen,21466
RR KAIZEN,20522
Tazaakhana,18868065
Kathleen,23426
Lokenath Sweet & Snacks,18377075
Bengal Special,18391859
Geeta's Home Kitchen,18594880
Heavenly Ovenly,18618356
Just For Taste,18625236
Dakshin Delight,18636446
Urna's Food Hub,18671048
Geeta's Kitchen,18667216
Maruti Food Service,18679189
Rangamati,18698482
The Spoon & Fork,18729777
Jyotirmoyee Golden Restaurant,25072
Ume's kitchen,18166891
Real Momo,18642657
Azad Hind,18683482
KG4,18471951
Sholoana Bangali,21306
Happy Sandwich House,18675214
Krazzy Sandwich,18866763
Food Street,18557588
AD Chutney Fast Food Center,18474224
MOMO BREAK,18546015
The Biryani Company,18513817
Tibetan Delight,23131
Matri Hotel & Restaurant,22023
Kamdhenu's Sweets,18377072
Bangalir Swad,18713320
Patol Posto,18695876
Relish,18545888
Oè Delli Belly,18893095
