Hatari,20240
033,18724181
Tintin & Brussels Club,18657827
Mirch Masala Restaurant & Bar,20348
Kasturi Restaurant,23559
Goodfood,18825302
Cakes,21929
Domino's Pizza,18313062
Thanco's Natural Ice Cream,18777881
Bedouin - Sher e Bengal,20065
China Whites,18523878
Sankar's Fry,20647
Le Chef,18107874
Campari,18567081
Calcutta Brasserie,18811682
MUD,25199
Viral Cafe Bistro,18692661
Bhojohori Manna,20072
Bedwin,21118
Junior Brothers,24380
Cafe Strings,18603696
Nirala's China Town,20363
Banglar Rannaghar,18613789
Ruma's Kitchen,18553605
Padmaparer Rannaghar,23180
"With Love, Brownie",18809236
Kolkata Cabin,18498769
Design My Cake,18198655
Tea Time Stories,18335557
Mr Ching's,18821543
Shree  Hari Mistanna Bhandar,23187
Rayzin,18621251
Pao Chein,22221
Foodies Paradise,18825236
Bellycacy,18770298
The Flyers Cafe Cum Restaurant,18821735
Das Cabin,23835
Ma Ki Rasoi,18672651
Mithai,22965
D. Win Dragon,18714765
Mio Amore,25238
Bedouin Restaurant,18440226
Hope Cafe,23699
Adarsha Hindu Hotel,18539067
First Flush,18361635
The New My Club,20920
Golden Flavour,18134918
The French Loaf,18636301
New Ashirwad Sweets,18665508
Scoopski,18646019
Wow! Momo,18655539
Flurys,21956
RR Kaizen,23712
Su Swagatam,18694655
Banzara,21076
Cafe Amizade,23872
Khawabo Jataney,18682990
Purbani Restaurant,18566836
One by One Cafe,18637211
Gaan Point Cafe,18681471
Sen Mahasay,24528
Fern Restaurant,25469
The Flame,18801519
Bhojraj,18599376
Kathleen,22979
Delight And Delicious,18667631
Dover Snacks,23189
Deshapran Mistanna Bhandar,24477
Vista,25214
Z Cafe,18801512
Terrace Tandoor,23599
Roasted Capsicum,18683285
The Sugarr & Spice,18070809
The Fried Factory,18735697
Nawab Snacks Bar,22964
Parama Roll Corner,24167
Jadab Chandra Das,22083
Crystaline,20149
Cafe Coffee Day,23950
Khabar Ghar,18855461
Gupta Brothers,25143
