Santa's Fantasea,24530
Momo I Am,18531167
Mio Amore,25240
Beans n Bites,18570555
Tandoor House,18259433
The Whistling Kettle,18498773
Tinny Da Dhaba,21050
Koshe Kosha,21669
Raspberry Bistro,18818042
Mitra Cafe,21127
Iceberg,20813
Ong Bong Chong,18636345
The Grub Club,20661
Kabuliwala,18685355
Aminia,22179
Mamamomo,18615410
Kafe 9,18420479
Banchharam's,18793913
Ganguram & Sons,22584
FNP Cakes & More,23722
Crossroad Crystal,18642378
Wakeup Cafe,18237073
Bedwin,18565728
The Cafe Store,18736430
Mouchak,25631
Mission Cafe,22905
Cake Cookies & More,23639
Shankar Cabin,18361652
who said PIZZA ??!!,18217457
Upper Crust,25157
The Sugarr & Spice,21043
Fresh-N-Up,20637
Just Baked,20988
Saptarshi,21150
Ralli's,20809
Yo Tibet,18618047
Bengal Food Factory,18618760
New Karco Hotel,18589709
The Fresh-N-Up,18657680
Cafe Coffee Day,21942
Samrat Fast Food Centre,18249158
Zaika,22017
