Arsalan,23359
Zoya Biriyani,25213
Girish Chandra Dey & Nakur Chandra Nandy,22078
Royal Spoon,24294
KFC,23836
Pappu Biryani House,18649952
Petuk Kolkata,18649981
Lebanese Junction - Steak House,24502
Blossom,20719
Nalin Chandra Das & Sons,22431
Pizza Hut,23848
New Madras Tiffin,23847
Bagicha,20677
C/o. Bangali,18366914
City's Sizzler,20137
Hungry Monkkzzz,18780742
Fatso's,22432
Naba Malancha,23683
Only 4 Chinese Gazab,25378
Aqua Java,25412
Bhojohori Manna,20074
Wow! Momo,23876
Koshe Kosha,20702
WFC (Wow Fried Chicken),18643622
Time Pass Fast Food Centre,18325243
Shiv Assram,18265454
Desi Chinese,18649970
Capri Restaurant,22353
Kum Kum Fast Food Centre,22364
Cafe Coffee Day,18471920
Mushroom,20356
Lakshmi Narayan Shaw & Son,18134901
Mio Amore,25239
Das Kitchen & Caterers,18618445
Hedua Chat,24674
jitendra's hotel,18865223
Sutanuti Junction,23079
Just Baked,21028
Adi Malancha,18570078
Fusion,21159
Poopsie's,18565713
Subodh Chandra Mullick,22435
Kalicharan Das,22433
Belgian Waffle House,18741443
Food Castle,21445
The French Loaf,18661703
Mallika Fast Food Centre,18643623
Upper Cakes,25212
Nani Lal Ghosh,18204094
K.C.Gope & Co.,18251913
Sagnik,18649975
Momore,24662
The Young Mug,18746485
Punjab National Hindu Hotel,22872
Shan-E-Punjab,18712244
Chalo khai,18656862
New Basanta Cabin,22401
Bake Club,25211
Dimsum Station,18566891
Purbani Restaurant,22604
Mitali Restaurant,18707598
Kalash Sweets,22605
AFC,18778038
METRO SPICE,18866812
Ekanto Apon Fast Food Centre,18134889
Jalajoga Misti,18249174
Bengal Food Factory,18618928
Fat Buns,18577767
Srija Food,18441464
Aunty Food.Com,18777024
Dhawaq Restaurant ,18547354
M/S Binode Behari Nag Ganesh Chandra Dutta,22610
North Point,21647
Lakshmi Mistanna Bhandar,22913
shimla biryani,18796167
Cream & Treat,18367247
Gayetri Fast Food Centre,22956
Chef & Best Fast Food,23514
Golok Barman,18259439
Kwality Wall's Swirl's,24056
Santosh's Bakery,17983791
The Scoop,24826
Tea Junction,18368693
Bharat Biryani,18840196
