Bon Appetit,21885
Denzong Kitchen,18354589
BJs Sports Restrau Cum Lounge,18265479
Cafe ICanFlyy,18565322
Jai Hind Dhaba,24428
Potstickers,18568880
Khana Khazana New Chinese Fast Food Centre,22756
Swad Er Bangla,18800473
Haldiram's Prabhuji,25163
Tandoori Darbar,21046
Noodle MEE,18783376
Raj Restaurant,20784
Haze,18693106
Nastos,18749902
A DATE WITH ME CAFE LOUNGE,18867065
To Die For,18361643
Khaza Biryani House,22532
The Corner Courtyard,23636
Tufaani Biryani,24416
Spice Studio,18806846
Chocolat-E-Du-Monde,18728301
Ammini,21548
Hotel Swagath,21507
Old Novelty Eating House,25670
Hazi Shaheb,18617781
Cafe Mezzaluna,18368689
The Baking Point,18655740
Petuk,24811
Kolkata Kitchen,18681045
Utsav Restaurant,21348
Sonar Bangla,18617266
Mio Amore,25254
Ghare Baire,18244432
Gobbler,18578450
Just Baked,21039
Aala,18557518
Garden Cafe,18515237
Raj's Multicuisine Restaurant,18398850
Classic Fast Food Centre,24415
Cocoa,25118
Khalsa Hotel,25671
H Street Baker,18017633
Cafe-De-Luxe Restaurant,18698350
Cake Studio,18498754
Shree Shree Balaji,18757944
Raj Confectioners,23094
Ganguram,24402
Cakes N More,18747197
Sai Cafe,18354581
Nastawala,18621304
Comfotel,18166924
Kathleen,22987
Deshbandhu Mistanna Bhandar,23771
Swaad Kitchen,18440203
The French Loaf,18638365
Bee Tails,18728314
Vaiya's,22716
Salmco,23091
Ratna Restaurant,24414
The Sugarr & Spice,18128483
Khusbu,20819
K2,18540454
Nu Wan Li,21070
Bhojohori Manna,20071
Cafe Coffee Day,21089
Belly Petrol,18604279
