Ani's Kitchen,18693915
Chicago Pizza,18511934
KFC,24676
Z Momo,18822058
Diamond Hotel and Restaurant,20807
Parashuram Restaurant,21454
Food Junction,18670365
Sitaram's,22684
Aditya Hindu Hotel,20776
Swapnapuri,23585
Shri Ram Bhojnalaya,22796
Pizza Hut,24981
Jasmine's,18611587
Mio Amore,25323
New Bir Hindu Hotel,22686
New Sree Ram Bhojnalaya,22691
Waterfall Bar & Restaurant,18070786
Bhimsain Hotel,21439
Sudha Restaurant,22692
Comesum,24979
Bake 'n' Flake,18672515
New Chacha Hindu Hotel,22690
Satyanarayan Hindu Hotel,22679
Prakash Hindu Hotel,22688
Kathleen,23047
Uma Mistanna Bhander,18817374
Friend's Cabin,18576037
The Sugarr & Spice,18128521
Yummy Club,18517760
Railway Restaurant & Bar,21453
The Gastro Pub,18720549
The Courtyard,18722028
MGM Food Junction,18701087
