Blue Mug,18420517
Abar Baithak,24657
Roasted Beans,18591595
The Shed,18650731
Melodrama,25377
Domino's Pizza,20170
Hogsworth,18640886
Eden's  Kitchen,18716927
The Noodle Hub,18551864
Don Giovanni's,21015
Cafe Positive,18719062
Momo Man,18665865
Little Pingu,18793315
Meringue,25624
Koli Kaaler Cafe,18766535
Chennai Express,18566719
The Green Room,18646725
Rollick,18670744
Meezaan,18162670
Bengal Food Factory,18618940
Amar Prem,18779225
28A Rannaghar,18639992
The Sugarr & Spice,24146
Bomby's Weekend Takeaway,18515276
Wrap Swap,18676415
K.C. Das,25115
Foodhub,18868983
Kung Pao,18440236
Lokaahar,18204346
The Taste Maker,20734
The Victoria,18544983
Good Morning Restaurant,18797150
Banchharam's,22587
Buddha Bites,24462
Seedz Beanz N Aroma,21675
