Haldiram's Prabhuji,22165
The Bahamas 24x7,18574284
Chennai Square,18722189
Dui-Paar Bangla,18343728
Tasty Taste,18685307
Food & Final,18553001
Cj's Küche,18789367
Domino's Pizza,18635982
Wow! Momo,18471914
Shree Krishna Veg Kitchen,18398869
K. C. Das,18281709
Branches - Hotel O2 Oxygen,18567163
Cafeteria Clubhouse,22467
Just Fried,18823769
Dhungro,18677428
D Sapphire Restaurant,20794
Babul,18578169
The Conclusion,18834246
Subway,18452207
Raju Sweets,22468
Mio Amore,24688
Aami Bangali Kitchen,18281713
Baked 24x7,18673425
Venezia,18868038
Home Style,22469
The Bahamas Temptation,18731651
Bina Snacks & Caterers,18779933
Mostly Mughlai,18767476
Biryani Hut,18591955
The French Loaf,18576643
Waffle Wallah,18757972
Aahar,18753380
Hot & Crispy Fried Chicken,18785137
Den,21587
Cafe Coffee Day,21918
Grilled N Fried,18740203
Samriddhi,18573285
Butter Chicken Wala,18614682
K G N Nasir Hotel,18281731
Hoops Restaurant,18651943
Hoops Restraurant,18664534
Arome Smak,18677335
Tripti Fast Food,18714083
EG Kitchen,18743752
Monarch Restaurant,18758495
E.G Kitchen,18740750
Lipiz Kitchen,18761269
Pakawan Restaurant,22225
Topi Wala,18580253
Dragon Shack,18765506
99 Kombo,18790400
The Sugarr & Spice,18128523
Blissful Cakes ,18646706
Green Chilli Restaurant,21828
Thali Hut,18558619
Ralli's,18687083
