Suufiyana,18862913
Bachan's Dhaba,21251
Apanjan,22206
Khanti Damodaar Seth,18577248
Mio Amore,25328
Cafe Heritage,18386821
Pithe Bilashi ,18545953
Wow Bangla,18498788
Ginger,20885
Ujjala Chanachur,18613018
Hazelnut Exotic Bakes,18398376
Would You Waffle,18636586
Bijoli Grill Foods Corner,25559
Desher Khabar,24223
K. C. Das Grandson,22409
Wow! Momo On Wheels,18354610
Nalin Chandra Das & Sons,23042
Singh N Ching,18224045
Sethi Hotel,21670
Chopstick,18679915
Gangs 24,18729896
Skewers,18440212
K-26,18679298
Aahaar,18765390
Adi Sree Hari Mistanna Bhandar,24591
Foodsy,18871071
Masala Club,18166919
Dessert Walla,18262374
Regale,20717
Pareeseva,25755
Priyanka Sweet & South Indian,18432060
Shuvaa's Crunch,18653844
Annapurna Mistanna Bhandar,24827
Bengal Food Factory,18676440
MDE Food Centre,18549392
Hotel Sathi,22072
Hungry Kya?,18729516
