Uno Chicago Bar & Grill,18812843
Besstoo,18621417
Haka,20782
Flame N Grill Restaurant,21220
Hoppipola,18420396
Jungle Safari,18762917
Honey Da Dhaba,21269
Beer Republic,18166940
Chapter 2,18265441
Pawan Putra,24802
Caafe 360 Degree,23468
Domino's Pizza,20984
McDonald's,21539
Puchkaman,18863373
Haryana Sweets,18265447
Hong Kong,21231
The Tunnel,18794825
Kankurgachi Dhaba,18461760
3D Lounge,18810425
KFC,21534
The Belgian Bakery,23674
Haldiram's,25455
La Griglia,22361
Nasta,24419
Keventers,18516866
Wow! Momo,18657106
Cafe Coffee Day,21109
Baskin Robbins,20978
Onam,18461753
The Rose,21274
Go Green,23595
Cakes,23663
Mio Amore Restaurant,21354
Bhikharam Chandmal,21824
Apu's Galaxy,18647585
Bake o Cake,18162653
The Belgian Waffle Co.,18641217
Sharma Tea,18552459
Apu's Kitchen,24140
Rajendra Hotel,18737561
KK's Fusion,21633
The Arab Knights,18249160
Spice It Up,18281727
Goutam's,18863027
Silver Spoon,23182
Bhikaram Chandmal Rajuji,18705182
Subway,20963
Foodie's Delight,25198
Chai Break,18361641
Bikers Dhaba,18794881
The Golden Bridge,18794889
The Noodle Story,18461749
Soul Kitchen,18249141
The Cake Xpress,18800658
Chocotarian,22991
Ghosh Brothers,25454
HNS Food Corner,22603
Schezwan Pepper,24433
Satyanarayan Restaurant,22602
The Cream & Fudge,18452192
Arrk,18361683
The SStreeet,18651487
Drive In Snacks Bar,22500
Chat Pata,18213984
Tutu's Fast Food,22620
Frapp,18702901
Waffle Wallah,18810674
Chill Pill,18213980
On The Menu,18631045
Mio Amore,25313
Krazy for Chocolates,24675
Veggie Cafe,18660415
Chennai Express,18521507
Pasha - The Pearl Hotel,21501
Tewari Sweets,24418
CFC,18213990
Flurys,23697
Hot N Fresh,24901
Let's Chaat,18521508
We Bake,18534922
Ghosh Sweets,18637460
Grill Mates,24439
Momore,25137
Rising Bun,18581050
Kwality Wall's Swirl's,18198661
AB's Kitchen,18882489
Delight,18361682
Andy's Kitchen,18354568
Sizzling Sizzler,18213994
Sketch The Cafe,18452196
Yo-Tibet,18521505
Aahar Just Veg,18801836
Khabar - The Eatery,18200597
Gupta Brothers,18885786
Pizza Hut,24338
Hidden Dragon,18213992
Annapurna Sweets,18565303
Madina Fast Food Centre,18639048
Chinese Fast Food Center,18726914
Kathleen,23045
Blaquiere's,25583
Niranjan Sweets,25730
Dolar Rannaghar,18769658
Madhur Sweets,18784948
The Sugarr & Spice,18128510
Bengal Food Factory,18676430
New Ghosh Brothers,18281734
Shahi,18213996
Bakuli Brothers,18683530
Coconut,18213986
Shawarma Kings,18415465
Coffee World,18521504
Fyoom,18270225
Sip N Lick,23279
Why So Serious,18287271
Say Cheese,22363
New Punjabi Hotel,18325245
Gokul Bhog,18249186
