Ozora,18420364
Hoppipola,18249144
Asia Kitchen by Mainland China,18217475
Chili's Grill & Bar,25718
Punjabee Rasoi,20912
Spicery,18754568
6 Ballygunge Place Thali,23357
Honey Da Dhaba,18597664
Akshay Aahar Eatery,18805473
KFC,18162658
Balaram Mullick & Radharaman Mullick Sweets,22947
Santa Delivers,18386790
Orko'ss Restaurant,24454
Red Bamboo Shoot Restaurant,23191
The Biryani Inc.,18801010
Starbucks,18630948
Domino's Pizza,24561
Buzz - The Gateway Hotel,23442
Feast,21117
Ong Bong Chong,18701862
Let's Poaka,18683358
Naushijaan,20918
Krazy for Chocolates,18249146
Chennai Express,18143271
Ming Dimsum and Pouchong Asian Products,18672291
Shawarma Nation,18559244
Street Cafe,18440229
Subway,18166918
Foodshed,18635867
Pied Pipers Cafe,18296327
Afraa Deli,18716708
Kasba Korner,18727022
The Belgian Waffle Co.,18773843
Drunken Monkey,18652048
Crossroad Crystal,21818
H2O,20700
Coffee World,18166920
Banchharam's,22586
Foodsaviour,18836465
China Bite,23242
Waffle Wallah,18714694
Bhoj Bilash,18562328
Taste Maker - Fast Food Centre,18881499
Royal Jade Chinese Restaurant,21073
Silver Platter,18287268
Mughal Sarai,18166916
Cheeni Kum,21869
Azad Hind,23430
Eat.Repeat,18760356
Mughal Shughal By The Way,18573377
Keventers,18368690
Bell Peppers,23828
Sheerazi,24249
Mio Amore,25339
Cakes,21921
China Garden,18569901
Lazeez Express,23280
The Tasty Bites,18463798
Dhaba 24,18656596
Eleven Seven,18862872
Swirl - The Gateway Hotel,23809
Cafe Coffee Day,18166912
Master Dimsum,21952
Momo Express,18821521
The Ivy Restaurant,18642631
Cinnabon,18724245
The Belly Gong,18166888
Hena Biryani,18510531
Spice-E-Affairs,18304544
Flurys,18767629
Kim Wah,18638528
Just Baked,18760270
The Howrah Bridge,18259463
Shourav's,18431488
HUNGRYEE,24359
Khai Khai,18726992
Haldiram's Express,18867663
DBH,18618872
The Cream & Fudge Factory,18166927
Adda Bites,22854
Mambo's Recipe,18537622
The Sugarr & Spice,18576706
Sasta Thali,18553397
Fusion Of China,18702509
Kay Vee,24103
Kwality Wall's Swirl's,18198687
Cream Bell,18761275
The Wall Express,18166910
Cookie Man,18278308
Fish n Fry,18670378
Second Wife,18560892
Wing-it,18652336
Gelato Vinto,18311141
Aahar,23502
Tiffin Box,18666902
Deli - The Gateway Hotel,25613
Calcutta Calling,18354616
The Breakfast,18545499
The Biryani Hut & Restaurant,24209
Khawab,18672415
K2,18528537
Sharma Snacks,18730152
Singhji's,21467
Bengali Pithe,18612213
The Drink Factory,18670342
Beijing Express,18672408
Choco Fantasy,18386815
The Victoria Express,18573744
Ria Fast Food,21120
Vanilla Bean Bakery,18643945
Sampa Snacks,24250
Ubique City,24442
Kim Woh,18730146
Machhli Baba Fries,18867160
Auntie Annes,18219915
Vaango,18228024
Sital's,24114
Skyline,25665
Treats,23897
The Empress,18747204
Ma Uma Hygienic Food,18769689
The Tea Trove,18414409
Banaras,18670352
Home Made Breakfast,18712084
Red Onion,18712092
Bhuribhoj,18554631
Tea Bar,18730112
Manokamna restaurant,18729461
Tea Bar,18879177
Swissyum Concept Foods,18343736
VIP Sweets Grandsons,24119
Luxmi Caterer and Snacks Bar,25633
Dalchini,18636008
Shree Shree Hari Mistanna Bhandar,24251
Chocoknot,18755076
Moumita Fast Food,18884766
Combo Man,18673232
Raikas Kitchen,18498123
Parathawala,18613820
Star Blue Star Biryani,24978
Abar Khaboo,22355
Mr. Mozza,18648001
Holy Pipes,18641269
who said PIZZA ??!!,18646422
Awesome Foods,18432176
Tommy Miah's Fried Chicken,18668579
Baskin Robbins,17983798
Only Alibaba,20909
The French Loaf,18562297
Blues,20917
Hot meal,18553667
Chinese Food Plaza 516,18431464
