Majestic Restaurant,18487860
Zaika Bar and Restaurant,21526
Azad Hind Dhaba,20607
Moghal Empire,18361676
Oindrila Restaurant,18532709
Express Food Plaza,25037
Hang Sang,25749
Foodiex,22486
Rahul Restaurant,22506
Just baked,18772001
Goody Foody,18882678
Highway Rainbow,18213995
Zodiac - Fortune Park Panchwati,21622
La Donna,22483
Tulip Inn Bar Cum Restaurant,22721
Banglar Kolapata,18354116
Anshuprio Foodie Club,22485
Chai Bar & Lounge - Fortune Park Panchwati,21623
Lakeland Country Club,18882469
Hotel Royal Landmark,18591343
Uma Snack Centre,18537302
Crushed Pepper,18611764
Kashmir Biryani,22757
Neptune The Bar - Fortune Park Panchwati,21624
New Star Haji Biryani,22851
Ahare Bangali,18886899
