Snacking,18663727
Momo I Am,18198678
Mufasa Restro Cafe,18817978
Tawa Tamancha,18669279
American Waffle House,18627193
Popular,24367
Chai Adda,18420491
The Lighthouse Cafe,18710252
Classic Tandoor,20138
Annapurna Foods,20688
Finom,18776471
The Royal Bengal Tiger Cafe,18675102
Agarwals Food Delivery,18553379
Bibi of Taaja's,23219
Bedwin,20611
Food Hood,18669040
Shaan-E-Oudh,18656597
The Complete Platter,18737692
Cafe Coffee Day,18420382
The Bakers Delight,18213959
Dacres Lane,18644967
Roasted Capsicum,18683288
Zaareen,18877588
Bong Belly,18287270
Fresh and Food,18559248
Paradiso,18520568
Ovenly Delicie,18435019
Tai Chien Village,18265463
Hotel Tandra,18518984
Hungry Folks,18645754
The Chicken Xpress,18661595
Eden's Kitchen,18716208
Time Pass Fried Corner,18688627
Mr Ready,18709719
Forkstruck,18895600
Kashmir On A Platter,18893809
