Tandoor House,18476619
Barbeque Nation,18723298
KFC,18552608
Dosa @ Twist,24481
Banana Leaf @ Komala Vilas,20044
Silli Chillies,18343749
Domino's Pizza,18287274
Maharani,23382
Keventers,18590402
Chinese Pandit,18675794
Kalapata,23608
Plate-de-Poultry,24884
Pizza Hut,18781464
Wow! Momo,18521633
Zeeshan,20601
Master Dimsum,18821492
Royal Lebanese,22769
Prema Vilas,22576
The Green View Club,18198651
Radhu Babu's,22612
Amul Ice Cream Parlour,18625588
The Noodle Story,18431476
Tropical Chinese,25149
The Mango Tree,18420510
Biryani Corner,18259465
Roasted Grill,18569510
6 Ballygunge Place - Gup Shup,18634403
Hotel Tarun Niketan,18570558
Pizza Hut,18719001
The Mega Feast Club,18801834
Banchharam's,22583
Buddha Bites,18740050
The Biryani Company,18325287
Spi-Sea,18719035
Arambagh's Chicken,25154
21 Baker Street,18657924
The Masala Club,20746
Kamdhenu's,25400
Soo Fresh,18420475
Dessert Land,18540294
Gupta Brothers Sweets,18621467
Sen Mahasay,25152
Spicy Kolkata,18354585
The Belgian Bakery,18719006
Royal Chow,25653
Calcutta Food Co,18368684
Jesibo,24669
Juicy,18162685
Coffee World,18535416
Deshbandhu Mistanna Bhandar,23772
Sorbetto,18559240
Mahaprabhu Mistanna Bhander,25023
Tiffin Box,18395405
Babua Raj,18614490
Tea Junction,18707621
Street Cafe,18613726
Kiaat Reloaded,18377092
Cafe Coffee Day,18577072
Dakshin,18296354
Apanjan,18471910
