Dehat,20761
The Kitchen,18625538
The Rose,21273
Buddha Bites,25607
Anir's,18017620
Kettle Petal,18631379
Domino's Pizza,24623
Kings Grill,21469
Mahalaya Snacks Corner,20759
Belgian Waffle Junction,18753385
American Waffle House,18711202
Star Dhaba,18824923
The Blue Poppy,24621
Junk Out,18562441
Wing Wah,20787
Anandamayee Sweets,18332684
Sweet Corn,21228
Chineese Quisine,21420
Bhikharam Chandmal,18521700
Aatithya,20755
Tapri,18777018
Benfish,18468792
K. C. Das,23265
Z Momo,18822067
Chef Mao,18655714
The French Loaf,18523987
Cafe Valley,23159
Sahi Food Corner,18648460
F N P Cakes 'N' More,18631293
Sweet Brew Cafe,18788552
Hungry Hippo,18249162
Mio Amore,25301
Maggi Point,18563784
Banarasi Chaat Bhandar,18574172
Wow! Momo,18287228
Bala G,18287233
Nirmal Food Plaza,18833783
FNP Cakes,18645768
Subway,18521701
VIP Sweets,24931
Just Baked,23259
Shree Krishna Sweets,25446
Cafe Coffee Day,18270261
Yummy Taste,18612597
New Mezban,24618
Annapurna,24865
BNB Food Experiences,18880450
Sharma Snacks,25415
Re-Live D 90's,18682558
The Sugarr & Spice,18128524
GST - Grilled Sandwich Toast,18642638
Twister,18631073
Toaste Adda,24841
The Flavours Of Calcutta,18697258
Tea Junction,18708002
Monarch Food Junction,18708383
Maggie Huts,18874823
Pie In The Sky,18386788
Kathleen,21202
The Cake Fairy,25120
Soo Fresh,18420476
Maa Sitala Mistanna Bhandar,24673
The Shake Factory,18890536
Annapurna Sweets,18237041
Eastern Sweets & Confectioner,18281704
Chulha and Wok,18887228
MEHFIL,18747914
The Cake Walk,18588165
Host,18386820
Riddhi Siddhi,20802
