Veggie Corner,18143247
Haldiram,18537307
Hungry Kya,18878622
Bhagya Laxmi,18770092
Conchiees Korner,18797116
Chicago Pizza,18537279
The Mill,18561423
Wow! Momo,18451807
Zero Miles,23299
Mio Amore,18017638
Rajasthani Kitchen,18672317
Gangotri,23302
Cafe Coffee Day,24778
Lalaji Food Plaza,18670129
The Oasis,18813042
Blossom Food Plaza,22705
Krunchy Hut,18750524
Domino's Pizza,18537275
Vegetarian Valley,22704
Fusion,24776
Kitchen Konnection,18748649
Sonu Vegetarian Snacks Corner,18759966
Healing Kitchen,18590941
Upper Crust,23707
Naughty Bites,18537306
Ganguram,18537305
My Oven Story,18578173
Crazy 4 cakes,18708331
Coffee World,18537290
Khane Ki Suruat,18513905
