@49,18017618
The Insta Cafe,18800899
New Paul Dhaba Veggie Hub,18217465
Roy's Jukebox Cafe,18777939
Halal Fried Chicken,18537638
New Paul Dhaba,21288
Vanakkam,24694
Aashirwad,18833898
Lord Fast Food Center,25196
Yo! Noodles,18750754
Eats N Treats,18570337
New Khana Khazana,20703
Nepal Chandra Halwai,23671
Pabrai's Fresh & Naturelle Ice cream,18724000
Appetizer,18737898
Sri Krishna Mistanna Bhander,18352365
Swad Restaurant,24295
Delicious Dezires,18617115
Layers,18461773
New Chanchala,17983766
Bhojan Spicy Hotel,18649984
Just Bakes,18676001
MOM - Magic of Mummy,18674912
Nandalals Sweets,18368645
Cafe Corner,21297
Hungry Owl,18710686
Cream Creations,18713017
Mio Amore,25249
Hygienic Food Cabin,25241
Lucky Cafeteria,18249150
Bengal Food Factory,18618771
Misti Mukh,24002
Royal Taj Biryani,18657705
Ganguram,24390
The Sugarr & Spice,18070796
Sunita's Bakery,18452222
Bak-e-at,18599727
Snacker's Hut,18603005
Star Fast Food,24293
Kum's Kitchen,18857287
Lakshmi Narayan Punjabi Hotel,18134914
Anand Fast Food,18237078
Kathleen,22994
Ganguram & Sons,22090
