Barbeque Nation,18678463
Aminia,23557
KFC,23227
Rang De Basanti Dhaba,24547
Hotel Taaj,21296
Kasturi Restaurant,18017608
Noodle Oodle,18334323
Domino's Pizza,23672
Mitra Cafe,18461727
Gurudev Restaurant,18017624
Mio Amore,25331
Red Kitchen & Lounge,18589175
11 to 11 Tastebusterzz,18420522
Mama Mia!,25482
Tara Maa food Express,18690353
Edibowl | Calcutta,18714069
Saloby Restaurant & Caterers,18670930
Tea Junction,23685
Basanti Sweets,17983787
Kwality Wall's Swirl's,18345806
NH Sky Lounge,24034
Cake and Bake,18563299
Adiram's,18562395
Ashirbad Restaurant,18452204
Barsha,22042
Maharaja,20658
Cake Creations,21329
Thali - Only Alibaba,18635821
Swarnachura,18270240
The Sugarr & Spice,18070816
Bhojohori Manna,18377100
Go Grillzz,18354073
Saheb Fast Food Centre,18641310
QFC - Quality Fried Chicken,18550436
Panda Junction,18281724
The French Loaf,18783383
New Haji Saheb,22797
Janata Hotel and Restaurant,20650
A1 Food Court,18369802
Noodle Oodle Express,18565249
Wow Roll,18420507
Aami Bangali,18662980
Momo Tomo,18509845
Pabitra Restaurant,20768
Hesel Food Court,18613454
The Noodle Story,18535839
Mum's Kitchen,24903
Shiraz Golden Restaurant,21307
Cafe Coffee Day,18281710
Dumpling Momo,24003
Temptation Cafe,18568872
Chopsticks,18166902
Ashna Biryani and Chap Centre ,18596028
Just Baked,18772269
Coffee World,18134887
Delicious Too,18264753
Sristy's Kitchen ,18585890
Anand Food Plaza,18621470
Havatey,18420509
Kathleen,22995
Gop Shop,18570475
Cake Forever,18676613
Tongu's Ten,18730353
Nightangle,24879
Warm Delights,25573
Mx Corn,18281708
Kolkata Fried Chicken,18569905
Fujusa,18622020
Pepper N Chilli,18679652
Kebabish Grill India,25716
Zero Degree,24864
Nandan Sweets,18270212
Pizzicone,18568355
Global Bengal,18380525
Shawa Rama,18461757
Bhel Junction,18281712
Bhikaram Chandmal,18544134
Sungrill,18774310
Renuka Snacks,22614
Tongue's Ten,18895624
Momozing,18895336
