Arsalan,21515
Gupta Brothers Sweets,20723
Belgian Waffle Junction,18611979
Domino's Pizza,20985
Cakes,21927
Cocoa Bakery,23814
Tewari Brothers,22537
Mio Amore,25308
Mama Mia!,20951
The Dragon's Kitchen,18605784
Sharma Sweets,18452203
Khirki Shri Hari Jalpan Shop,22581
Ek Din Prati Din,18777686
Big Fat Shawarma,18590972
Zyka,21294
The Belgian Waffle Co.,18714740
Anamika Roll Centre,22580
Bhikharam Chandmal,18674307
The Big Way,18525603
Balaram Mullick & Radharaman Mullick Sweets,24736
The Vanman Chinese,18821558
Fries Before Guys,18611277
Hariom Dabbawala,18807732
Hindustan Sweets,22442
Aqua Java,21802
Steam & Fried,23940
Plaite By Bijoli Grill,18755841
The Shake Factory,18611981
Kowloon,20307
Pasta Basta,18311137
Subway,20728
Snacks Zone,21185
Snax-Co,18668948
Home Slice,18883018
Saha's Kitchen,25563
Flurys,18548371
Cane Crush,18638412
Gangs 24,18742579
Swati's Flavours of Rasgolla,18783232
Agarwal's Food Delivery,18778809
The Super Snack Bar,18709540
Hotel Saini Inn,20706
Krishna Snacks Bar,21817
Eat-A-Pitta,21572
Subho Chinese Hut,22582
The Fried Factory,18685197
Bikaner Bhujiawala,24734
FNP Cakes,18620886
Cafe Coffee Day,21081
Haji's Kitchen,23857
Kaleidoscope Multicuisine Restaurant,18505376
Icy Fusion,18311127
Tangerine,21733
Pam's Cafe,21777
The Sugarr & Spice,24340
The Milk Bar,18510859
Aami Bangali Kitchen,18673507
Banaras,18703561
Swad Dish,18839919
Rush By Chai Adda,18650798
New Step Inn,20708
Baskin Robbins,18259435
Parathawalla,18704149
Crust & Core,18659944
Joy of Baking,25086
Melete - Sweet Nothings & More,23919
MNP Snackbar,24227
Patchwork Orange,18452239
Sarada Gupta,18553457
Refresh ,18669047
Nasta House,18715091
Kathleen,22978
Circular Cabin,23092
Menoka Sweets,24224
Protima Sweets,24226
Santosh Sweets,24746
New Beharilal Sweets,24949
Varsha's Desserts,25097
VB 60,18750024
Aryian Food Plaza,18762961
Hyderaj,18766378
Cream N Shakes,18866225
The Nawabs,18867081
The Favourite,18889915
Tasty Trails,18730745
Mumble's Lab,18471921
Shruti's Creations,25065
Hot Flavours,23916
Momo Wala,18669787
Gokul Shree,24329
Green Chilly,22803
