Kabuliwala,18382567
Seasonal Tastes - The Westin Kolkata Rajarhat,18581816
Cafe Ekante,25538
Madira,18825044
Country Roads,18249185
KFC,23228
Bangla Misti Hub,18773883
Tamara - Pipal Tree Hotel,23587
Oval Lounge,21876
Calcutta Bistro,18806430
6 Ballygunge Place,18675852
Chufang The Kitchen,18777858
CFC,18562244
The Square - Novotel,24533
King's Bakery,18680578
Throttle Shrottle,18536650
Emoji,18750375
Kerala Kuisine,18863000
Azad Hind,24668
MAB,18821947
Maa Annapurna - Ghar Ka Khana,18696024
Ice & Spice,18683305
Afiaa Rolls,18670971
The Japanese Restaurant & Garden,18535406
Yagna - Vedic Village Spa Resort,21617
Annapurna Sweets,18237050
Footpath Restaurant,18745608
New Darjeeling Fast Food,18668993
Stomach Fuel,18817297
On The ROCKZ,18471955
Sen5es,18461737
47 South Tangra Road,21815
Dawat Restaurant,24572
Punjabi Adda,18836908
Hola!,18559333
Le Vanilla,24678
Pind Da Dhaba,18803806
Maple The Kitchen,18398892
The Wall,18680393
Family Chicken,18744176
Domino's Pizza,23339
The Bongz Resto,18823671
Cafe Ekante Eco Park Jetty,18311151
Goutam’s,18596358
Yo Yo Punjabi Dhaba,18756273
Crazy 4 Cakes,18643392
Nalin Chandra Das & Sons,18686797
A Sweet Surrrender,23254
Cake It,18287253
Cafe Treat - The Pride Hotels,21621
Wild Mint,18590384
Ganpati Foods,18471946
Mehmaan,18443214
Oye Dabba,18674932
Litti Inbox,18762901
My Second Home,18784902
NBCC Ghar Ka Khana,18689044
Mehak-e-Punjab,21992
4 Thali,18773491
Studio - The Pan-Asian Galerie - Novotel,17983801
Fuel Resto Bar- The Pride Hotels,23246
Wow Chow,18790217
Sante - Novotel,24839
Buddy's Yard Cafe,18742405
Aaheli Xpress,21574
Moghul-E-Azam,18270223
Yule Tea Lounge,18270221
Calcutta Retro,23433
Mumbai Chinese,18669142
New Darjeeling Food Shop,18608893
Biryani Hut,18753214
Hotel Yaseen,18788469
Cheesy Blast,18609409
Cake and Bake,18318768
Momore,24350
Chefs kitchen,18435367
Burger Home,18668958
Thali Junction,18670821
Spencer Patisserie,18265431
Hungree Bites,18669004
Bijoli Grill Foods Corner,18823873
Wow! Momo,18771699
Table Nine,18813156
Tessa,18551253
The Village,18017635
Cafe Chaos,18721772
Hot N Spicy,18731980
Red Cooker,18585459
Shanghai Kitchen,18801434
Waffle Wallah,18673778
Bhoomi - Vedic Village Spa Resort,21618
Afraa Deli,23787
Thaaliwala,18801730
Bluezz,18474097
Vaahjee Pure Vegetarian Restaurant,18546403
Bajrangbali Food Centre,18732494
BKFC-Burman's Kolkata Fried Chicken,18807745
Roy's Waffle,18565969
Roll Company,18615290
Flurys,23713
99 The Multicuisine Restaurant,18564771
Hot.Com,18613784
Chatpata Adda,18638060
Peckish,18630267
Downtown,18677553
Mobina's Kitchen,18214522
Mio Amore,25248
Hotshot Meals,18578957
