Jai Hind Dhaba,20273
Pepper Chino,18398877
Pabrai's Fresh and Naturelle Ice Cream,25262
Saatvik,18461764
Falafel Social,18806647
Little Pleasures,18661845
Be You,18664324
Cartof - Grills & Fries,18883548
Den Cafe,18731933
Häagen-Dazs,18436768
Keventers,18557523
Chunky's,18582439
Litti Inbox,18702551
Vandana,18296332
Hungrills,18629544
The Palm,22407
Haldiram's Prabhuji,18420485
The Noodle Story,18724644
Lansdowne Weekenders,18439371
BGL Cafe and Lounge,18675179
Mr. Twister,18707473
Tea Junction,18707996
Gourmet Bakers,18302162
"4B, Bakery Street",18452227
Aristo Cafe,22675
Milkiss,18618976
Just Baked,23262
35 Bar & Lounge,18895349
