Arsalan,20797
Zam Zam,22656
Haji Saheb,24573
Royal Indian Restaurant,25705
The Awadh Restaurant,18681582
Shim Shim,18677056
8th Day Cafe & Bakery,24874
Zeeshan,20602
CIT Cafe,21578
Anokha Baghicha,23446
Aliah Restaurant,18620899
Nafeel Restaurant,21863
Crazy 4 Cakes ,18627036
The Rouge,21689
Charcoal Grill,21412
Shaina Chicken Corner,23522
Lazeez Biryani,18761176
Breakfast 4 U,18529613
Golden Bowl,20652
Rannaghar,18398862
Noodles Time,25645
Chilli Pepper,21066
Delish Dhaba,18377116
New Qaiyum's Mansalwa Restaurant,18848842
Meraz Biryani,18848362
Sanjha Chulha,23853
Shawarma House,18667862
Mithai,22722
Mom's Breakfast Magic,18711338
Skyline Confectioners,21843
Purple Haze,18712547
Kolkata Foodies,18721073
One Bite,18746951
Banchharam's,22591
Afza,21425
Juice Factory,18545104
The Calcutta Shake Co.,18866890
Nepal Chandra Sweets,18643935
Jugal's,24983
Denzong Kitchen,18779806
Meezan Biryani,18865492
Aroma Fast Food Hub,18268622
Hakka Habibi,18461726
Sunayena Eating House,24494
Jaiswal Tasty Corner,23682
Snacks Emporium,18251892
Naaz Snacks,18840217
Silver Nest,18217476
Silver Dream,18534582
Al - Falah,23971
100% Game Cafe,18607727
Bhookkad,18641379
Royal Sweets,24728
Rajshahi Restaurant,18857029
Crest,24507
Nawab's,18787696
Ivory Restaurant,18423742
H-Indian Taj,18561866
The Bakers Lane,18620583
Snack Shack,18703754
Pizza Factory,18809218
Park Sweets,18386798
Whooppee Café,18631306
China Hut,18543786
Kasan - The Flavours Of India,20283
Arabian Chicken Shawarma and Kebab,18671483
Crazy Bite,22410
Snacks Food Centre,23551
Jugaad Bangla,18556439
Radiant Kitchen,18648545
7 Point Alfaham,18685454
Kolkata Bakery N Pastry,18714620
Cilantro,18414400
Sethi's,18794714
Navab's,18794708
Wat-a-Biryani,18794387
Dine 9,18134927
Hot Nuts,18213968
Mio Amore,25374
Mouchak Delicious Sweets,24121
Jaiswal Nimki House,24238
Beefy Affair,18885876
Lalti Food Centre,23681
Pure Milk,24212
Jeevan Restaurant,21153
Hotel Lee International,18579803
Park Roll Corner,18626288
Ritz,18632897
Liyaqat Sweets,23121
Chawla's 2 Online.com,18789522
Chination,18790152
Delhi Food Factory,18795330
Majlish,18224076
Guru Caterer,18878489
Alaina Foodies,24427
Kera South Indian,21051
The Stallion,18605798
Stoner's Paradise,18885741
Kathleen,23052
Hotel Rock Star,18664401
Hotel Diamond Suite Kitchen and Restaurant,18728086
Ganguram Great Grandsons,24396
Kahkasha's Kitchen,18762821
Chaiber Kafe,18749810
Ashraf Biryani,24090
Yo's Noodle,18682352
Fork & Knife,18343774
Hooky Dooky,18651145
Rajsahi Restaurant,18287258
Baked Fresh,24246
Kings of Fries,18893415
Crazy 4 Cakes,18894803
