Peter Cat,20404
BarBQ,20870
Carpe Diem,18634729
Barbeque Nation,25570
Hard Rock Cafe,18617771
Mocambo,20350
Pa Pa Ya,18650200
Flurys,21212
Naturals Ice Cream,18589546
SpiceKlub,18343750
Olypub,20855
Kareem's,18665212
The Parking Lot,18756433
Tung Fong,21380
Mamagoto,18368652
Starbucks,18665242
What's In D Name,18368662
Rajdhani Thali,18198665
KFC,20287
Shiraz Golden Restaurant,21527
Kusum Rolls,22067
Arsalan,20795
Barf Soda Paani,18806872
Ping's Cafe Orient,18577108
Hakuna Matata,25654
Waffle Wallah,18589513
Marco Polo,21213
The Door 6,18471945
OTT - Over the Top,24727
One Step Up,21376
Trincas,21781
The Burping Panda,18655631
Roxy - The Park,21506
M Bar Kitchen,24665
Domino's Pizza,24566
Wow! Momo,18611063
Subway,23452
Patisserie By Franziska,18715820
Midnight Bites,18588048
Cocktail Groove,18808950
Frollz,18461730
Golden Dragon,21349
Someplace Else - The Park,21424
Aqua - The Park,21508
Cha Bar,20964
Saiqa Restaurant,18811982
Rollick,18325258
Koshe Kosha,24923
London Bubble Co.,18690937
Eaterniaa,18573826
Moulin Rouge,20881
Balaram Mullick & Radharaman Mullick Sweets,22946
Don Giovanni's Good Fellas,18386794
Golden Aafreen,18854421
Pepperazzi - The Diner,18590959
Noodle Time,25228
Fire and Ice Pizzeria,20193
Oasis,21511
The GT Route - Jameson Inn Shiraz,18017614
Myx,24446
The Bridge - The Park,20850
The Food Tantrums,18808497
Golden Spoon,21470
Zen - The Park,20848
Lazeezo,18820914
Magnolia,20875
Saffron - The Park,20849
Zoya,18657603
Kwality,20873
Baskin Robbins,18281733
My Regular Place,18717137
Hot Kati Roll,22082
Aaira,24650
Tantra - The Park,21509
The Cave,18638025
House of Cone Pizza,18744208
I Love Haldiram,18591132
Cafe Coffee Day,21102
Park Pavilion - Jameson Inn Shiraz Hotel,21692
Gangaur,20828
Yippee Point,18653073
The Street - The Park,20851
A La Cart,18781375
Waldorf,20878
Grill Sandwich & Juice,18811914
Khopcha Cafe & Lounge,18820627
Live Kitchen,18575123
Mr. Mozza,18641222
Dreamland Restaurant & Bar,22333
Saiji Confectionary,22960
Nawab's,18654394
Rahmania,20420
The Sugarr & Spice,24964
Cafe Coffee Day Square,18880578
The Accord,25444
Baba Fast Food,23441
Best of Gupta's,21165
Silver Grill,21171
Bably's Fast Food,18209505
Amber Cafe,21712
The Bakers Lane,18728026
Uddta Punjab Dhaba,18854353
Lost in Taste,18843702
Happiness Station,18642905
Sweet Temptations,25556
The Lords and Barons,18811777
Rajnigandha Bar,18398856
Burgrill,18874931
Bliss Bakery,25534
Suruchi,22708
Gangaur Sweets,24938
Sams Pub,18398860
Green House Snacks Bar,22914
Pappu Fuchka Wala,18431483
Floriana,20879
Tea Junction,23749
Bhikharam Chandmal ,18669811
Zunger,18134883
The Tea Trove,18607310
Ramji Ghugniwala,18440201
Ghar ka Khaana,18581420
Starlit Garden Bar,21785
TG by Tanvi Ghai,24905
Yum Tum,18249149
Ramesh Chilla Wala,18440199
Humaira Moghal Biriyani,18880629
Golden Hot Chilli,18657542
Sharughan Sah Muriwala,18431480
HOT NUTS,18882540
Metro Icecream,24974
Under Bridge,18584101
The Roll Shop,24966
Mixx,18894771
NFC Food Funda,18892050
