Nightsaviour,18431486
Masterchef,18794031
Santwana Fast Food,22939
The Stomach Filler,18767490
Roy Dhaba,18536551
Thaaliwala,18697782
Mumma's Kitchen Cafe,18774045
Momo's Point,18667485
Sapori D'Italia,18775870
NightKitchen,18731996
Noodle Shack,18796767
Mio Amore,25314
Aroma,18709539
Noodle Time,18287269
Prity's Kitchen,21821
Only Nawab Sahab,18224060
Arman Biriyani,23780
Too Yumm! Chicken,18706082
3 Idiots Dhaba,18782623
Mushq World,25098
Krish's,21848
Hoichoi Cafe,18724542
Al-Zaika,18645287
The Dhaba,18824313
The Juicery,18866926
Albela Biryani,24088
Anamika Fast  Food Center,25187
Red Bamboo Shoot Restaurant,21846
Deshapran Sweets,25183
Javed Biryani,18070787
Guddu Biryani,18848382
Fast Food Joint,18650974
Suruchi Snacks Corner,22233
Pinkey Sweets,18654906
Tiffin Box,18666899
Rock & Roll,25186
Urban Pind,18597747
Five One Six Food Plaza,18701777
Shahi Food Junction,18619009
Mealocity,18555057
Chopstick,18604272
Mamta's Kitchen,18566872
Lost Boy,18621741
Yummy Tummy Smiling Bites,18581591
Shib Namkin & Sweets,24239
Jhumki Fast Food Centre,22501
Kathleen,22795
Tanmoy Fast Food Center,22085
Republic of Chicken,18623450
Mishra Misthi,23088
Pragya Fast Food,22086
Bengal Food Factory,18618757
Varsha Veg Kitchen,18654712
Tasty Plaza,18326097
Amritsari Dhaba,18270255
Annapurna Fast Food Center,18895818
