Flame & Grill,21219
The Tavern Cafe,18863053
Cafe Mezzuna,18249157
Hondo's,18361680
Chili's Grill & Bar,25714
Mainland China,20927
Hanglaatherium,24794
Sengupta's,23571
Domino's Pizza,24372
Shawarma Nation,23342
Starbucks,18644505
Plan 'B',18716449
Balaram Mullick & Radharaman Mullick Sweets,25590
Purple Turtle,25141
F4U - Food for U,24655
Wok Up,18863318
Wow! Momo,21654
Sholoana Bangali,20472
Vanilla Bean,18724757
Chai Addaa,18779822
Coffee World,21811
Crossroad Cafe,18265458
Food o' Clock,18807584
Siam 37,18747211
Baskin Robbins,18237084
Xis O Krim,18466983
The Corn Hub,18848331
Cookie Man,22008
New Grissini,25156
The Noodle Story,18585244
Cakes,23434
Flurys,23166
Hotel Rani,22097
Mio Amore,25259
Dosa Express,18708342
Krazzy for Waffle,18679702
China Green,18566895
Subway,24524
Fusion Cafe & Restro,18296342
Gupta Eating House,22950
Hi Hat Restaurant,20246
How Hua,18471947
Gossip,23309
Epicuisine,23981
Mom's Kitchen,18669005
Pabrai's Fresh and Naturelle Ice Cream,18287254
The Lords,20692
Biryaniwala,18729579
Indish,18558610
Rayaz,18227721
Mouth Melto,18281718
Swissyum Concept Foods,23377
Ar-Han-Thai,23170
Cafe Coffee Day,18311115
Le Thali,18578170
Taste of Life,18683317
New Mayur,21847
Aryan's Pav Bhaji,23164
Sugar Top,18819525
The Tea Trove,18368650
Momo Break,18573918
Sweet Couture,24990
New Kalpana Mistanna Bhander,18653847
Mystic Spice,18660631
Hara Gouri Mistanna Bhandar,23165
The French Loaf,18420403
INOX South City Bar,18791331
The Sugarr & Spice,25027
Bakology,18361655
Food For Me,18725831
Gupta Hotel,22949
Zucker Amor,24443
Frozen Dreams,18809790
Cheesy Blast,18879208
Kwality Wall's Swirl's,18198691
Pet Puja,18260774
Hindusthan Sweets,18198656
Nand Da Dhaba,18778554
Kathleen,21203
Tiny Chef,18689581
Happy Wok Fast Food Centre,18747111
Abhilasha Fast Food Centre,23072
Murli Haldiram's,23068
Bijoli Grill,24364
Kashundi,18872503
Jadoo'r Kadai,18758508
Mavin,18265452
Crossroads,18368666
Dhaka Biryani House,22567
Samrat Snacks,20687
