Arsalan,18166925
Kabuliwala,18382567
Traffic Gastropub,18414440
Seasonal Tastes - The Westin Kolkata Rajarhat,18581816
Aminia,24485
Riwaz ,18814153
Momo I Am,18361657
Cafe Ekante,25538
Madira,18825044
XII Zodiac‬ - The Fern Residency,18270247
Country Roads,18249185
KFC,23228
Bangla Misti Hub,18773883
Tamara - Pipal Tree Hotel,23587
McDonald's,21540
Oval Lounge,18249172
Calcutta Bistro,21876
Cafe JUNKtion,18806430
Pizza Hut,18855816
Friends Of Pho,21370
6 Ballygunge Place,18848647
Chufang The Kitchen,18675852
CFC,18777858
Munch&Chow,18562244
The Square - Novotel,18747216
The Orient,24533
Jiban Jamuna,22428
The Bahamas,22033
Nest - Howard Johnson,18540729
King's Bakery,18680578
Throttle Shrottle,18536650
Emoji,18750375
Social Kitchen - Holiday Inn,18440204
Kerala Kuisine,18863000
Azad Hind,24668
MAB,18821947
Veg Dhaba,18420511
Maa Annapurna - Ghar Ka Khana,18696024
Domino's Pizza,20983
New Rangeela Dhaba,21486
Sandwich Wala,18204189
Afiaa Rolls,18670971
Ice & Spice,18683305
Koshe Kosha,24471
The Japanese Restaurant & Garden,18535406
Shinryu Restaurant & Bar,22571
Yagna - Vedic Village Spa Resort,21617
Annapurna Sweets,18237050
Footpath Restaurant,18745608
New Darjeeling Fast Food,18668993
Stomach Fuel,18817297
On The ROCKZ,18471955
The Flavours King,18852703
On My Way,18784426
Sen5es,18461737
Bhikaram Chandmal,18544137
Subway,22094
Keventers,18765201
Chai Break,18296335
Singh Flavours,18420512
47 South Tangra Road,21815
Dawat Restaurant,24572
Punjabi Adda,18836908
Mama Mia!,25018
Mehak-e-Punjab,18296320
Hola!,18559333
Le Vanilla,24678
Pind Da Dhaba,18803806
Maple The Kitchen,18398892
The Wall,18680393
Family Chicken,18744176
The Bongz Resto,18823671
Cafe Ekante Eco Park Jetty,18311151
Goutam’s,18596358
Yo Yo Punjabi Dhaba,18756273
Crazy 4 Cakes,18643392
Nalin Chandra Das & Sons,18686797
A Sweet Surrrender,23254
Cake It,18287253
Afraa Deli,22113
Cafe Treat - The Pride Hotels,21621
Wild Mint,18590384
Oye Dabba,18674932
Mehmaan,18443214
Ganpati Foods,18471946
Litti Inbox,18762901
NBCC Ghar Ka Khana,18689044
My Second Home,18784902
Urban Kitchen & Bar,18603757
Lazeez Express,23303
4 Thali,18773491
Gazab Ba Restaurant,18462847
Studio - The Pan-Asian Galerie - Novotel,17983801
Fuel Resto Bar- The Pride Hotels,23246
Wow Chow,18790217
Sante - Novotel,24839
Buddy's Yard Cafe,18742405
Aaheli Xpress,21574
Royal Corner,18805858
Chef Mao,18325265
Moghul-E-Azam,18270223
Blue Nile,21881
Yule Tea Lounge,18270221
Calcutta Retro,23433
Mumbai Chinese,18669142
Yummy Tummy Delicious Food Corner,18718384
New Darjeeling Food Shop,18608893
Food O Holic,18706023
Biryani Hut,18753214
Hotel Yaseen,18788469
Cheesy Blast,18609409
Krazy For Chocolates,18414419
Super Haji Biryani,18514988
Cake and Bake,18318768
Momore,24350
Universal Cuisine,18701556
VIP Sweets,18213963
Burger Home,18668958
Chefs kitchen,18435367
Thali Junction,18670821
Best Flavours,18777670
Spencer Patisserie,18270239
Durbari - Swissotel Kolkata Neotia Vista,18265431
Hungree Bites,21502
Bijoli Grill Foods Corner,18669004
Wow! Momo,18823873
Blue Nile Lounge,18771699
Chai,18354591
Table Nine,18755916
Tessa,18813156
Mangalam Snacks,18551253
The Village,18597883
Cafe Chaos,18017635
Hot N Spicy,18731980
Red Cooker,18585459
Shanghai Kitchen,18801434
The Tibetan Flavours,18689883
Waffle Wallah,18673778
Bhoomi - Vedic Village Spa Resort,21618
Guptas Veg,18762639
Thaaliwala,18801730
Bluezz,18474097
Bajrangbali Food Centre,18732494
Z Momo,18765495
Zazz Cafe,18837038
BKFC-Burman's Kolkata Fried Chicken,18807745
Roy's Waffle,18565969
Roll Company,18615290
