Sip N Bites,18562765
Amritsar Dhaba,18744210
National Hotel & Restaurant,24783
House Of Cone Pizza,18744205
Mitra Cafe,18672520
China Town,18017634
Firepit,18697937
Su China Zone,24784
Hot & Tasty,18537027
Swagat Restaurant,18630262
Dakshin,18235364
Cafe Hide Out,18641748
Swapan Deep,18717008
Grand Sweets,25407
Indian Chopsticks,18681234
Non Veg Hub,23975
Shyam's,25408
Zam Zam Milk center,18539831
The Sugarr & Spice,18128490
Annapoorna Foodz,18583338
Momosss,18665754
Yummy Mummy,18874522
Dosa Zone,18249180
Parima Cafe,18524760
Dingo Delivery,18562618
Break Point,18562303
Tripti Inn,24656
Anwar Hotel,18767091
Wok & X,18702095
Kathakali,18702040
Green Spice,18520741
Choco Zee,18503564
A One,24759
Papa Ji's Kitchen,18528763
Super Janata Jalpan,18017636
