JW Kitchen - JW Marriott Hotel Kolkata,18398880
Sigree Global Grill,24452
Byepass Dhaba,18162672
Vintage Asia - JW Marriott Hotel Kolkata,18420362
Mainland China,21216
Peshawri - ITC Sonar,21357
JW Lounge - JW Marriott Hotel Kolkata,18420370
Oh! Calcutta,21217
Eden Pavilion - ITC Sonar,21626
Rang De Basanti Dhaba,18631001
Dum Pukht - ITC Sonar,21611
Fabelle Chocolate Boutique - ITC Sonar,18343772
Pan Asian - ITC Sonar,21516
The Box,18420505
Nutmeg - ITC Sonar,21613
West View Bar & Grill - ITC Sonar,21627
The All Fish Restaurant,18643619
Don Giovanni's,18509406
Masque Lounge & Bar,22197
Papa Chow,18597922
Haji Saheb,18288753
Kung Pao,18354576
Saatvik by Starvin Marvin,18610554
Uddta Punjab Dhaba,18884716
Welex Food Company,18707748
Doyel Food Park,18621013
Thali Junction,18667578
Spice Garden,18440244
Happy Baking,18270230
The Dessert Box,18633116
Banalata,23230
