Red Chillies,18597456
Annapurna,22051
Arshyan Restaurant,18555480
Khai Khai Kitchen,18857397
Wow! Momo,21659
Station Cafe,24570
Atithi Bengali Aahar,18574863
Sonali Chinese Restaurant,18146296
Aroma,22127
Gupta's,24291
Soo Fresh,18420474
Aahar Restaurant,22098
Cafe Coffee Day,21107
Food Stop,23892
Kalpataru Mitha Lassi,18462075
Sufi Darbar,18673121
Naiori Restaurant,18683751
Putiram Sweets,22926
Turmeric,24571
Break Point,18593361
Shibanna Sweet Shop,18217471
Rishika,18342941
Delight,18414427
Confection konnection,18674102
Bishal Restaurant,24305
The Sugarr & Spice,18128504
Taj Restaurant And Caterer,22040
Tea Junction,18707644
Aami Bangali,18570868
Mio Amore,25336
Just Baked,21024
Food Court Chinese Restaurant,25194
Goal Bar,18658571
Kitchen,18580600
Royal Calcutta Sweets,18213955
CFC,18561885
Prince Snacks,18715169
CHOWMEIN WAALA,18895639
