Seven kingdom,18712598
Pisces,18640355
Solid Gulp (Bapi Dar Momo),22391
Scone,23592
ALT,18692908
Calcutta Biryani House,18738840
Haveli,21383
Funite,18773928
Cakemate,18642183
Jai Jawan Stall,24087
Agarwal's Kitchen,18754475
Cakes,23773
Local Gourmet,18621753
Courting Coffees,18431475
La Rustica,18627471
Noodle Oodle Express,18564611
Machhli Baba Fries,18671351
Breakio,18774032
Friends and Fries,25440
Tej Patta,18777766
Suswadu,18683331
Oye!! Paratha Online,18528443
Gupta Tea,18637964
Yummie Tiffinz,18711092
VIP Sweets,24355
The Desi Tadka,18794792
Cafe Coffee Day,18325278
Kathleen,21207
Munchew,18311129
Flurys,23278
The Dark Barrel,18611646
Mio Amore,25344
Zest Restora,20563
Mone Rekho,25382
The Frozen Tree,18581974
The Calcutta Cravings,18398895
Tok Jhal Mishti,18854378
Snachies,18213982
Sylph Chocolates,18259473
Swade Aswade,18572147
What's Cookin,18573215
The Bake Lab,18431477
Not A Piece Of Cake,18665028
Guddu Cafe,18863003
Sandhya's Kitchen,18143275
Chef & Bakers,25057
Tasty Folks,18368671
Sweet Tooth,18461759
Muffins Treat,18557968
Pounds of Happiness,18632542
Teatime Bakes,25051
Chocopassion,18775772
Bengal Food Factory,18618754
Mukhuruchi,24800
Yum Bites,18420412
Chatakk Matakk,18601041
Souvicks Eatery,18657337
Gharoa,18663064
Ganguram's,18535409
"The Spoon & Fork , Salt Lake",18726288
Mother's Kitchen,18675827
Roll Company,18615294
Roffles,18895781
