Noxx,18571000
Machaan,21840
Mainland China,21839
Kaligodam,23530
Friendzone Fried Chicken,18723832
Panch Bhog,24755
Domino's Pizza,18431468
Wrappers,18534914
Soms Crispy Chicken,18647337
Kolkata Fried Chicken,18519249
Just Cakes,18549983
Om Shakti South Indian Dishes,18666761
Raasta Cafe,18651309
Marwar,20775
KFC,21690
Cafe By The Lane,18579540
Society Biryani,22641
Kinz,18877884
Pirates Of Bengal,18444746
Fiesta Bar & Restaurant,18732795
Mio Amore,25337
Pizza Hut,22259
Wow! Momo,21653
Food.Com,20662
FriendZone Fried Chicken,18877870
Noodles & Live Pasta,24772
The Belgian Waffle Co.,18609188
Subway,21887
Archit Tandoor House,24612
Buddha Bites,18591286
Bridge View,22642
Yummy Hub,25104
Roll N Tandoor,23993
Bhuri Bhoj Restaurant,18659673
McDonald's,22260
Aahare Bangla,18550527
A-One Restaurant,22536
Dil se Dilli,18249183
Hangoutz - The Boutique Cafe,18816858
Krazy for Chocolates,18143264
Zaiqa Biryani House,22564
Sanjha Tandoor,18431472
Kanha,22850
Batai Mistanna Bhandar,23982
Makhaana,18440238
Friends' Pizza,18171057
The All Fish Restaurant,18604809
Creamy Creations,18806547
Green Valley,22792
New Mirch Masala,22773
Ganpati Food Plaza,17983792
Mitali Sweets,23978
Tea Junction,18707393
Grewal Dhaba,22707
Keventers,18471938
Sai Jalpan Junction,18551403
King's Cafe,18864821
Paris Bakery,18591282
Crown South Indian,23991
Tandoor ,18679104
Marwar Sweets and Snacks,18517731
Chunky's,18675917
The Noodle Story,18461765
Banchharam's,24758
Cafe Oxy,22673
New Star Haji Biryani,22494
Flurys,23703
Naved Biryani,18747780
THE CONGO,18703693
Pizzicone,18249176
Twinkle,21320
Royal Bengali Biryani,22559
Cookie Man,22828
Green Meals,18366483
Genuine Broaster Chicken,18452229
Wai Wai City,18668118
Aahar A Bahar,18716487
Naaz Fast Food,22643
Stun the Sun,24765
Ice Queen Parlour,18878826
Square Club,24984
Rajashree Restaurant,21451
Para Porshi,18601971
Cakestyles,18611999
King's Kitchen,18607400
Delish- A Unit Of Trishna,18711506
Bella Biryani,22636
Brojonath Grand Sons,17990463
OH! Momo,18168240
Enerzy,24186
Thristy,18386796
Thirsty,18431470
The Sugarr & Spice,18576723
Orbit Restaurant,18616076
Its Cake Time ,18652941
Krumbs ,18656716
Food Wall,18675851
Suprabhaat,18687077
Maahi Restaurant,22698
Young Star Restaurant,23958
Simply Corn,23983
Hungry Fast Food,18778716
Tasty Cakes & Bakes,25022
Cake and Bake,18652047
The Cream & Fudge Factory,23988
Shahi Pakwan,18688097
Vishwanath Snacks,22557
Cake Goals,18504556
Chaat Chator,22488
Super Haji Biryani,22640
Coffee World,23985
Bhikharam Chandmal,18698013
Ghosh Sweets,24217
Cafe Coffee Day,22880
New Shimla Biryani,22544
Ali Shaan,18519567
