Mitra Cafe,21125
Allen Kitchen,21429
Chittaranjan Mistanna Bhandar,23680
Dhiren Cabin,18198667
Nalin Chandra Das & Sons,18622472
Fat Frog Foods,18626457
Badsha,21162
Makhan Lal Das & Sons,23326
Amantran,18777830
New Delhi Hotel,23540
Cafe Splash,24016
Royal Fast Food,18783484
Cafe Coffee Day,23534
Olio,18560522
Kathleen,18648110
Mio Amore,25289
New Shanti Sweets,18649327
Testry,18715534
Sri Darshani,23473
Sristi Fast Food Centre,23532
Bosumati Fast Food Centre,22951
Dwarka Mistanna Bhander,18134900
Nobin Chandra Das & Sons,23075
SriRam Sweets,23526
Dey's Inn,25548
Cafe 7 Days,18649307
