Rayyan Biryani,18561959
WBFC,18535156
CRC,18343763
Kolkata Chicken Treat,18862437
The Victoria Tram Car Restaurant,18809699
Taj Biryani,24815
Khao Piyo,22043
Angithi,23345
Feasters,18871158
Twist Fast Snacks,18657121
Empire Restaurant & Bar,18452201
Jashoda Mistanna Bhandar,24782
Madhuban,18528639
Food Kraft,18540743
The Bawarchi Biryani,18874498
The Waves,18585273
Just Baked,18773204
Arzoo Biryani Center,18882073
Gouri Sweets,18259461
COOKiE CUP,18354606
Food Steps,18684375
Nand Da Dhaba,18722785
Kathleen,23033
Kohinoor Biriyani,18880658
Tongue's TEN,18888757
Cakelicious,18224079
Crossroads,18696491
Kolkata Fried Chicken Food Funda,18892066
New Khana Khazana,18895605
