Golden Joy,21346
Big Boss,21431
Beijing,21347
Mom’s Cook Book,18869166
Kim Ling,23179
Ah Leung,18631126
Kim Fa,23096
China Gardens,21447
Golden Phoenix Chinese,24638
Anokha,18837063
Mandarin Gourmet,21442
Kafulok,20830
NamKing,25085
Golden Empire,22496
Kimli Restaurant,18783316
Master Chef,23782
Hakka Village Chinese Restaurant,24897
Kim Li Loi,18833815
Ming Garden Chinese Restaurant,21494
Mio Amore,25350
Shun Li,20856
China Pearl,21448
Fung Fa,20857
Rohit Momo Centre,18836871
Tiffin,18377103
Ajung's,18632589
Flora Bar & Restaurant,18684113
Lee Garden,22609
Cin Shing,18259464
Annapurna Hotel,18854349
Ayush - The Foodies Point,18670843
The Olive & Co.,18570003
STAR INDIAN BIRIYANI,18884756
Hot Wok Village,23548
Roop's,18598252
Pure Bliss,18461767
Evergreen,22161
Sun Shine Restaurant,18833967
Quality Fast Food,18236296
China Gate,21418
CFC - Crispy Fried Chicken,18491134
Only Alibaba,18668431
Don Giovanni's,18224048
Royal Zam Zam biryani,18679199
The Yummy Bites,18895611
