Auda Cafe & Club,18664425
Hindusthan Dhaba,18377108
The Salt House,18670445
Aura - Sky Bar & Brewhouse,18638445
Arun Tea Stall,18879862
Sesame,22458
The 10e Cafe,18576068
Dariole,22175
Puffs N Bites,18553657
ATS Arun Dhaba,18621858
Kurry Patta,22746
Nocturne,18311146
Sweetish House Mafia,21432
Fumi Villa,18714590
Fumi Villa,18420486
The Belgian Waffle Co.,18634697
Scarlet - Aauris,18070812
Jimmy's Kitchen,21149
Desi Adda,18778352
Vrindam- Ganpati Rajesh,18775826
Club Boudoir,18368660
BLU - Bistro & Bar,18567940
Aromas - Kenilworth Hotel,20866
Mae Kong,18595401
Mayaram Restaurant,21336
Konetto Pizza,18537313
Tangerine,20520
Mio Amore,25243
The Big Ben - Kenilworth Hotel,21542
Delights,20464
The Sushi Oke,21867
World of Waffles,21389
Sharma Sweets,18801002
Baskin Robbins,25011
Subway,18747004
Gupta Brothers,18398878
Z Momo,18671505
Vien,18728155
Chhappan Bhog,23084
Ovenfresh - Kenilworth Hotel,24961
Rayyan Chinese Flavour,21544
Mr. Veggie,18809595
Shri Shyam Kitchen,18631597
Shibuji,22802
Kaos,18198676
Bhola Fuchka Wala,18270224
Sziszotic Cafe,24486
Tea Junction,18708011
Sprinkles,22751
Vadilal Hangouts,18796302
Cafe Coffee Day,18420380
Standby,18296328
Haze,25614
