Sea-Estta Inn,18729018
Agarwal's Food Delivery,18536701
Cafe HQ,18575757
The Chaiwala,18143280
Wokaholic,18798824
The Copper Kitchen,18471924
Shivam Sandwich,18628500
Dazzling Planet,18653485
Sharma Snacks,23896
Denzong Kitchen,25544
Sharma Sweets,24719
Smith's Diner,18763161
New Hungry Corner,18602027
Aminia,20929
A-1 Taj Biryani House,24448
Ratan Biryani Centre,18840799
Silver Screen,21722
Pizza Hut,24432
Azad Hind Dhaba,20916
Ice Choco Cafe,18498768
China Town,22531
Tripti,18609318
Chinese Pandit,18361653
The Royal Bengal Tiger Cafe,24902
Manti,21262
25th Hour,18821504
Kamdhenu's,23740
Savour N Chillers,18750087
Bawarchi Fast Food,23291
Gourmet Hut,20693
Frosted Delight,18252405
Punjabi's Paratha,18760285
Wow! Momo Delivery,18237086
Area 40,18823835
Aha! Biryaani,18728064
Domino's Pizza,24716
Wokstreet,18781461
Roy Dhaba,18678573
Kababi,18763625
Bedwin,17983795
The Grub Club,21476
K2 The Restaurant,20911
The Suruchi Food Center,18198670
Hott Spot,21754
Subal's,21989
Mio Amore,25253
Manpasand Sweets & Snacks,18617979
South Indian Cafe,23066
Lip Smackerz,18679644
Simla Arsolan Biriyani,18869093
Prajna Delicacy,18420368
CFC,18570871
Ranna Bati,18528395
Just Sandwich,18017613
Satyanarayan Misthana Bhandhar,24768
The Chaiwali,18487799
Chilled & Grilled,18577956
Madhumita Restaurant,21882
The French Loaf,18596545
Dazzling Planet Express,18720979
Spice 2 Go,18745139
As You Like Eat,18631728
Food Point,18738913
Firpo Restaurant,18840046
Som's Fast Food,22371
Maa Annapurna Pure Veg,18735679
Kocoa Mania,18807565
Bijoligrill Foods Corner,18554912
Alladi,18799189
Dhaka Misthana Bhandar,18198673
Bengal Food Factory,18676438
Balaji South Indian Food,18682142
A Food Affair,18720986
Aoji Khaoji,18431473
The Bangasree Sweet Shop,18670546
Taste on Way,18719432
Kingring,18837042
Graham's Kitchen,21234
B.M. Fast Food,18414433
Bite's Grill,18723070
Grill Onion ,18618797
The Choco Hub,18547657
Surendra Sweets,24717
Rajarshi Food Court,18259438
Twin's Kitchen,18818168
Spicy Bite,18606331
Poddar's Fast Food Center,18749642
The Sugarr & Spice,18576709
Velvetiine,18431451
Snacks Corner,22974
Taj Briyani,18619172
Hangla No 1,18727285
Shivam,24714
Manpasand Pure Veg,25064
Gaurav's Kitchen,18626471
Agarwal's Veggies,18755058
New Tasty Fast Food Corner,18857917
Om Ginger,18565981
Sip & Bite,18695129
Momo King,18545496
Crazy For Cakes,25166
Maa Annapurna,25165
Hunger Saviour,18749932
Tasty Tasty Food Corner,18807542
Rahmania,18521483
Bake Club,23614
Chocolate In Fusion,18508674
Hashtaag IGNWT,18714004
Tolly Cafe,18707641
Gouri's Kitchen,22732
Gujrat Nimki House,24718
Kathleen,25059
Green Chilly,25523
Cakes N Beyond,17983808
Lassi Kaffe,18773162
Yummy Tummy,18801574
Shampa's Kitchen,18805504
The Food Factory,18862968
Lazeez Mediterranean Grill,18208981
Nidhees Fast Food,18205884
Hot Ginger,18336163
Khan Saheb,22137
Royal Grill Live Kitchen,18796196
Narendra Mistanna Bhandar,23133
Rajasthali,18640015
Chinese Chimney,18618484
Cafe Kebab,18745423
YUMY TUMY,18799911
Tazaakhana,18868053
FOOD Mantra,18504401
The Pool Cafe,18718964
Swissyum Concept Foods,18420388
Chinmoyee Restaurant,18616157
Calcutta Canteen ,18664129
Cake It Away,18674580
Tea Junction,18707681
Love at First Bite,25720
Lizza Hut,18780884
Hangry Destination,18795339
B K F Fast Food,18797203
Manmohan Sweets,25014
Chicken Mafia,18857906
The Tea Trove,18657954
Gopala sweet,18628041
Flavour'ss of the Himalayas,18735710
Mystic Cuisine,18383040
Mughal's,18356835
Sweetie Pie,18504493
Buttercupp,18606506
Munchbox,18626020
Antonia's Kitchen,18633177
Aahanas Kitchen,18660738
Kamala Sweets,24510
Desi Indian,18754265
Dolphin,18790985
The Food Front,18791739
Cream Bell,18797097
The Foodies Club,18861282
Adi Mahaprabhu Mistanna Bhander,18162664
Dinobandhu Misthana Bhandar,18198666
Rasaraj,18198675
Adhya's Gourmet,18270263
Hanne's Cafe,18306116
New Satyanarayana Mistana Bhandar,23067
Tolly Dhaba,18562391
