Mezban,20826
ACS Chinese Flavour,21179
What's Your Flavour?,18709396
Food King,21177
WBFC,18639146
Saldanha Bakery,18224075
New Arafat Restaurant & Caterer,21074
The Square Meal,18618043
Aafreen Restaurant,18224077
Open Oven,20615
Mio Amore,18579397
NFC,18664409
The Silver Fork,18510404
Al Habib,18449529
Surma,22099
Made In Oven,25083
Delhi Darbar,23967
Dustarkhwan Restaurant,22049
Aayaan Restaurant,24067
Lazzat,20655
Grill 'n' Chill,18325241
Lakhi Hotel,22114
Khushi Fast Food Centre,22101
NS Restaurant,17983771
Yummee,21852
Bakestar,18613221
Foodie Buddies,18691459
Kathleen,22997
The Sugarr & Spice,18576729
Haan 'D' Biryani,25639
Beeru's Restaurant,18641162
Pizza Tonight,18712514
