Name,Restaurant ID,Rating,Address,Cuisine,Cost for Two
0 Degree Kolkata,18382915,2.9,"Saha Bagan, Rajarhat Road, Near New Life Nursing Home, Jyangra Chowmatha, Baguihati, Kolkata","Cafe, Fast Food",300
033 Kolkata,18724181,4.1,"23/44 Gariahat Road, Golpark, Near South City College Gariahat, Kolkata","Thai, Italian, Asian, American, Chinese, Cafe",500
10 Downing Street Kolkata,18296364,4.3,"Ground Floor, Plot G2, Block GP, PS Srijan Corporate Park, Sector 5, Salt Lake","North Indian, Chinese, Continental","1,600"
100% Game Cafe Kolkata,18607727,3.3,"209, AJC Bose Road, Park Circus Area, Kolkata","Continental, Fast Food, Beverages, Chinese, Cafe, Kebab, Pizza, Italian",800
100% Veggie Kolkata,18615203,3.2,"134, Regent Colony, Tollygunge, Kolkata","Chinese, Fast Food, North Indian, South Indian",400
100Mt.Park Street Kolkata,18718055,4.6,"55a Mirza Ghalib Street, New Market Area, Kolkata 16. Ground Floor","Bengali, Indian, Chinese, Seafood",600
11 to 11 Tastebusterzz Kolkata,18420522,3.6,"68, 5th Floor, Diamond Plaza Mall, Nagerbazar, Kolkata","Continental, North Indian, Chinese",900
1st Floor Restaurant Kolkata,22397,2.6,"3, M.G. Road, Near 3A Bus Stand, Joka, Kolkata","Chinese, North Indian",500
1st One Sahi Biryani & Fast Food Corner Kolkata,18648525,2.9,"256, Dum Dum Road, Near Commerce College, Dum Dum, Kolkata","Biryani, North Indian, Fast Food",400
2 High Chefs Kolkata,18640335,2.9,"A-53/1 Bapuji Nagar, Near Raymond's Showroom, Jadavpur, Kolkata","Fast Food, North Indian, Chinese, Finger Food, Indian",350
2 Idiots Kolkata,18668964,-,"Gate 1, Unitech, New Town, Kolkata Rajarhat",Fast Food,150
21 Baker Street Kolkata,18657924,3.9,"11/1, Sultan Alam Road, Lake Market Area, Kolkata","Bakery, Desserts",700
24 Seven Howrah,18502671,3.3,"Alampur, Andul Road, Howrah, Kolkata","Bengali, Chinese, North Indian, Continental",800
25th Hour Kolkata,18821504,NEW,"3/47, Azadgarh, Tollygunge, Kolkata",North Indian,150
28A Rannaghar Kolkata,18639992,-,"28, Jodhpur Garden, Jodhpur Park, Kolkata",Bengali,250
3 Cheers Kolkata,18767251,3.6,"452, Main Road, Purbachal, Kalikapur, Kolkata","North Indian, Chinese",500
3 Idiot's Fried Chicken Kolkata,18602914,3.1,"83, Tarunsen Gupta Sarani Road, Dum Dum, Kolkata",Fast Food,300
3 Idiots Dhaba Kolkata,18782623,3,"207, Picnic Garden Road, Picnic Garden, Kolkata","North Indian, Chinese",300
3D Lounge Kolkata,18810425,NEW,"183A, CIT Road, Scheme-5, Kankurgachi, Kolkata","Chinese, Thai, Mexican, Italian",600
3S Restaurant Kolkata,18670910,-,"CE Block, Thadkari Main Road, New Town, Kolkata","Bengali, Chinese",350
4 Thali Kolkata,18773491,3.3,"Opposite Tata Consultancy Services, Geetanjali Park, New Town, Kolkata","North Indian, South Indian",300
47 South Tangra Road Kolkata,21815,3.8,"4th Floor, Axis Mall, Block CS, Major Arterial Road, New Town, Kolkata","Seafood, Cantonese, Chinese, Momos",800
"4B, Bakery Street Kolkata",18452227,3.7,"Madhab Chatterjee Street, Paddapukur, Kolkata","Bakery, American",500
6 Ballygunge Place - Gup Shup Kolkata,18166908,3.9,"3rd Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata",Bengali,350
6 Ballygunge Place - Gup Shup Kolkata,18634403,3.6,"Food Court, Yum Street, Lake Mall, 104, Rashbehari Avenue, Lake Market Area,",Bengali,350
6 Ballygunge Place Kolkata,18675852,4.2,"Plot 101&104, Eco Suite Business Tower, New Town, Kolkata",Bengali,"1,000"
6 Ballygunge Place Kolkata,20002,4.4,"6, Ballygunge Place, Ballygunge, Kolkata",Bengali,"1,000"
6 Ballygunge Place Kolkata,21308,4.2,"DD 31A, Sector 1, Salt Lake",Bengali,"1,000"
6 Ballygunge Place Thali Kolkata,23357,4,"37/1, Rajdanga Main Road, Kasba, Kolkata",Bengali,500
6 Ballygunge Place Thali Kolkata,24670,3.8,"Podium Floor, Globsyn Crystal, EP & GP Block, Sector 5, Salt Lake",Bengali,500
7 Moghuls Kolkata,18647333,3,"Newtown Hangout Food Court Ecospace Ecovista Club Gate, Kolkata",North Indian,600
7 Point Alfaham Kolkata,18657254,-,"18/A, Syed Amir Ali Avenue, Ballygunge, Kolkata","Biryani, North Indian, Chinese",400
7 Point Alfaham Kolkata,18685454,-,"18 sayed Amir Ali Avenue, Park Circus Area, Kolkata","North Indian, Chinese",250
7 Star Haji Biryani Kolkata,18833645,NEW,"32A, Girish chandra bose road, Beside Entally Market, Entally, Kolkata","Bengali, Indian",400
7/12 Fried Ice Cream Parlour Howrah,18681569,3.5,"212 Girish Ghosh Road, Forum Rangoli Food Court, Belur, Howrah, Kolkata","Desserts, Ice Cream",300
7th Heaven Howrah,18813248,NEW,"1, Kshirode Ch. Ghosh Road (Watkins Lane), Dobson Road, Howrah","Cafe, Bakery",300
7th Heaven Kolkata,18725593,4.1,"BF-195 Near Swimming Pool, Sector 1, Salt Lake, Kolkata","Cafe, Bakery",300
7th Spice Howrah,18591299,-,"3rd Floor, Avani Riverside Mall, 32, Jagat Banerjee Ghat Road, Shibpur, Howrah",Lebanese,500
8th Day Cafe & Bakery Kolkata,18763518,3.7,"11, Jatin Bagchi Road, Opposite Vivekananda Park, Kolkata, Ballygunge, Kolkata","Cafe, Bakery",600
8th Day Cafe & Bakery Kolkata,24874,4.1,"Arcadia, 6, West Range, Mullick Bazar, Park Circus Area, Kolkata","Cafe, Bakery",600
9 Players Kolkata,18296365,2.5,"NSCB Airport, Near Terminal 2, Dum Dum, Kolkata","Chinese, North Indian","1,100"
99 Kombo Kolkata,18790201,NEW,"53, AQ Block, Mahishbathan, Sector 5, Salt Lake, Kolkata","Chinese, North Indian",400
99 Kombo Kolkata,18790400,NEW,"Bangalaxmi. Lebutalla Dashodron, Rajarhat Road, Kaikhali, Kolkata",,400
99 The Multicuisine Restaurant Kolkata,18564771,3.5,"Rajarhat Chowmatha, New Town, Kolkata","North Indian, Chinese, Mughlai, Momos",650
@49 Kolkata,18017618,4,"116, Vivekananda Road, Near YMCA Hostel, Maniktala, Kolkata","Thai, Chinese, North Indian",600
@49 Kolkata,18361665,3.5,"Madhyamgram Chowrasta, Barasat, Kolkata","North Indian, Chinese",600
A 1 Haji Fast Food Kolkata,23158,3.3,"95, Gopal Lal Tagore Street, Baranagar, Kolkata","Fast Food, Street Food, Rolls",250
A C Dining Hall- By Mission Cafe Kolkata,18520830,-,"20, Ganesh Chandra Avenue, Chandni Chowk, Kolkata","North Indian, South Indian, Fast Food",500
A Date With Me Kolkata,18718269,3.3,"138/4, N.S.C. Bose Road, Usha Gate, Naktala, Kolkata","Bengali, Continental, Chinese, Goan, North Indian",500
A Food Affair Kolkata,18720986,3,"34/4, NSC Bose Road, Tollygunge, Kolkata","Fast Food, Italian, Continental, Beverages",200
A Homebaker's Treat Kolkata,18416937,3.3,"Flat1/11A, West Wind, 78, Raja S.C. Mallick Road, Garia, Kolkata","Bakery, Desserts",300
A La Cart Kolkata,18748570,4.1,"Beside Bhawanipur College, LG Showroom. 4A, Lala Lajpat Rai Sarani, Elgin, Kolkata.",Desserts,150
A La Cart Kolkata,18781375,3.6,"Metro Plaza, 1, Ho Chi Minh Sarani, Midleton Row, Park Street Area, Kolkata",Desserts,150
A One Howrah,24759,3.2,"44, G.T. Road, Salkia, Howrah",Biryani,200
A Step Up Kolkata,21490,2.5,"2nd Floor, P188, C.I.T. Road, Ultadanga, Kolkata","Chinese, Fast Food",400
A Sweet Surrrender Kolkata,23254,4,"New Town, Kolkata","Bakery, Desserts",150
A&K's Kolkata,18665495,3.4,"12/4 Bhattacharjee Para Lane, Baranagar, Kolkata","American, North Indian",450
A-1 Taj Biryani House Kolkata,18134921,3.3,"57/76, N.S.C. Bose Road, Near Malancha Cinema Hall, Tollygunge, Kolkata",Biryani,200
A-1 Taj Biryani House Kolkata,24448,3.3,"57/76 N.S.C Bose Road, Tollygunge, Kolkata",Biryani,200
A-One Biryani Howrah,23995,2.9,"171, Andul Road, Howrah",Biryani,150
A-One Restaurant Howrah,22536,2.9,"21/1, G.T. Road, Near Howrah Maidan, Shibpur, Howrah",Biryani,200
A1 Food Court Kolkata,18369802,3,"26, Jessore Road, Nagerbazar, Kolkata","Biryani, Fast Food, Tibetan, North Indian, Chinese",250
A1 Haji Fast Food Centre Kolkata,18323157,3.2,"37, M.B Road, Birati, Near College More, Barasat, Kolkata","Biryani, Mughlai",350
A1 Haji Fast Food Centre Kolkata,18806536,NEW,"Kalamandir, BD, 62, Rabindrapally, Kestopur, Kolkata",Fast Food,250
A1 Haji Fast Food Centre Kolkata,22805,3.6,"83/76, Mullick Colony, Near Laxmi Narayan Mandir, Dum Dum, Kolkata","Biryani, Street Food, Rolls",300
A1 Haji Fast Food Centre Kolkata,25040,3.5,"HC1, Ashwini Nagar, Baguihati, Kolkata","Biryani, Street Food",300
A1 Haji Fast Food Centre Kolkata,25642,3.4,"13/A, Netaji Colony, B.T. Road, Tobin Road Crossing, Baranagar, Kolkata","Biryani, Street Food",300
A1 Haji Kolkata,18538980,3.3,"75/1, Feeder Rd (Near belghoria post office), Belghoria, Kolkata, West Bengal 700056, India","North Indian, Mughlai",300
A4 Foods Kolkata,18237048,3.7,"19A, Elgin, Kolkata Elgin","Bakery, Desserts",650
AB golden FRY Kolkata,18695152,3.2,"26, Black C, Baghajatin, Kolkata","American, Fast Food",500
ABCD & Caterers Kolkata,18617432,3,"Thakdari Main Road, Newtown Action Area 1C",Chinese,400
ACS Chinese Flavour Kolkata,21179,3.1,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata",Chinese,300
